x,y_mean,y_std
6.400000000000000000e+01,5.348351918555764861e-01,5.392455637388449130e-02
5.164734693877550853e+03,5.201134603124974998e-01,2.699762716377652333e-02
1.026546938775510171e+04,5.068417879917588298e-01,2.528811269213951385e-02
1.536620408163265165e+04,4.953388983326038608e-01,3.218336639882243833e-02
2.046693877551020341e+04,4.908948154046782197e-01,2.870835885876800442e-02
2.556767346938775518e+04,5.066257531508367995e-01,3.572849993185801126e-02
3.066840816326530330e+04,5.403191655132311144e-01,4.853690486829175671e-02
3.576914285714285506e+04,5.886248843313265366e-01,4.710908647643549663e-02
4.086987755102040683e+04,6.334613052051489834e-01,6.424924417484548234e-02
4.597061224489795859e+04,6.582508790953349731e-01,8.926330164537964185e-02
5.107134693877551035e+04,6.721802722177241396e-01,9.742533455317808899e-02
5.617208163265306212e+04,6.902293974768024531e-01,8.795008025435216426e-02
6.127281632653060660e+04,7.088736857572900396e-01,7.703950030019546258e-02
6.637355102040816564e+04,7.245282389319515071e-01,7.460873465395695403e-02
7.147428571428571013e+04,7.407630145625572204e-01,8.069778977800064201e-02
7.657502040816326917e+04,7.652229059959436697e-01,8.300141690812884443e-02
8.167575510204081365e+04,7.997429585280235731e-01,6.954322067224938397e-02
8.677648979591835814e+04,8.310963013522169041e-01,4.936535548483159119e-02
9.187722448979591718e+04,8.443363649302776386e-01,3.604989316672653488e-02
9.697795918367346167e+04,8.479748071071979698e-01,3.644944615433304280e-02
1.020786938775510207e+05,8.484016564612811839e-01,4.291163273342288309e-02
1.071794285714285652e+05,8.477781298165826263e-01,4.727714698250155834e-02
1.122801632653061242e+05,8.440557434812617776e-01,5.043859799507675878e-02
1.173808979591836687e+05,8.390474757465554712e-01,5.085367238275487894e-02
1.224816326530612132e+05,8.383452124189563204e-01,4.571877405305070641e-02
1.275823673469387722e+05,8.425131577945219608e-01,3.694183890386786712e-02
1.326831020408163313e+05,8.473344738456667358e-01,3.067244412063602210e-02
1.377838367346938758e+05,8.534031243396338340e-01,2.840615667887504484e-02
1.428845714285714203e+05,8.640390399360333706e-01,2.355460776521233965e-02
1.479853061224489647e+05,8.718644085273836719e-01,1.661272655575526599e-02
1.530860408163265383e+05,8.720430986857525824e-01,1.313238244005386635e-02
1.581867755102040828e+05,8.632851096134945834e-01,1.131451164531496398e-02
1.632875102040816273e+05,8.596554129555876722e-01,1.459111950798829688e-02
1.683882448979591718e+05,8.666832101191186410e-01,2.431981065221589661e-02
1.734889795918367163e+05,8.745392607552391340e-01,3.168580098709568998e-02
1.785897142857142899e+05,8.712986323156082236e-01,2.861076119455091549e-02
1.836904489795918344e+05,8.644323573479756329e-01,2.824933924477079916e-02
1.887911836734693788e+05,8.531716869633166889e-01,3.200456737625873016e-02
1.938919183673469233e+05,8.478263983254945568e-01,4.194596381770800131e-02
1.989926530612244969e+05,8.537060146646989756e-01,4.589928516269047021e-02
2.040933877551020414e+05,8.645091349965638994e-01,4.344143920458785196e-02
2.091941224489795859e+05,8.708925714532306239e-01,4.482417961801177936e-02
2.142948571428571304e+05,8.683169681427551634e-01,4.552391078033853761e-02
2.193955918367346749e+05,8.620639697898994092e-01,4.507602875710058771e-02
2.244963265306122485e+05,8.578086018610889818e-01,4.917356902367613081e-02
2.295970612244897929e+05,8.598977822353333078e-01,5.219042161286886750e-02
2.346977959183673374e+05,8.654771850267521938e-01,5.136789087206095061e-02
2.397985306122448819e+05,8.703733366717075759e-01,4.723364727392354717e-02
2.448992653061224264e+05,8.722915013784489080e-01,4.235217220828674939e-02
2.500000000000000000e+05,8.704532615425535358e-01,3.967492759310645156e-02
