x,y_mean,y_std
6.400000000000000000e+01,5.270964080661786344e-01,1.003213326565175201e-01
5.164734693877550853e+03,5.090850410421146055e-01,6.777272959273707154e-02
1.026546938775510171e+04,4.955474572337750239e-01,6.208700294593245961e-02
1.536620408163265165e+04,4.888152824187653178e-01,7.552818251906033564e-02
2.046693877551020341e+04,4.981093936395922239e-01,5.943765597482988244e-02
2.556767346938775518e+04,5.298928657851729174e-01,2.237503263420157970e-02
3.066840816326530330e+04,5.675601763070021732e-01,3.949212177414000713e-02
3.576914285714285506e+04,6.057751322725620780e-01,5.869053460404827227e-02
4.086987755102040683e+04,6.442627042390820513e-01,8.029391477446691516e-02
4.597061224489795859e+04,6.783294107610757795e-01,1.065371633273676233e-01
5.107134693877551035e+04,7.096830731530943126e-01,1.200263709611004287e-01
5.617208163265306212e+04,7.480050774732202035e-01,1.124892399128943898e-01
6.127281632653060660e+04,7.877437926345635111e-01,9.982928380087852105e-02
6.637355102040816564e+04,8.227540593638307254e-01,9.464689956202054777e-02
7.147428571428571013e+04,8.523071481062721721e-01,8.885539588327913407e-02
7.657502040816326917e+04,8.836708758834932453e-01,8.052795763076926738e-02
8.167575510204081365e+04,9.149509554960205682e-01,6.985848867633441539e-02
8.677648979591835814e+04,9.394920673550085644e-01,5.970209703181959815e-02
9.187722448979591718e+04,9.461991590768257243e-01,5.136582604764149129e-02
9.697795918367346167e+04,9.425468111275170369e-01,4.897439675659426978e-02
1.020786938775510207e+05,9.359311836782111538e-01,4.827024361748525477e-02
1.071794285714285652e+05,9.316688140521656170e-01,4.826598051435866676e-02
1.122801632653061242e+05,9.288220411986053415e-01,4.681896649435692698e-02
1.173808979591836687e+05,9.292908736023248739e-01,4.243171538623319999e-02
1.224816326530612132e+05,9.348619453273639968e-01,3.960446282976533977e-02
1.275823673469387722e+05,9.435497440008002723e-01,3.807206852568888189e-02
1.326831020408163313e+05,9.518690639606115500e-01,3.779050117276803317e-02
1.377838367346938758e+05,9.602836801962586488e-01,3.765844789393074654e-02
1.428845714285714203e+05,9.703778165718051074e-01,3.202172040414400650e-02
1.479853061224489647e+05,9.779052090193317559e-01,2.587715852738125058e-02
1.530860408163265383e+05,9.798864048503432844e-01,2.430992380113417700e-02
1.581867755102040828e+05,9.745374601176717277e-01,2.974049790730359452e-02
1.632875102040816273e+05,9.691278653946104882e-01,3.211688911552549458e-02
1.683882448979591718e+05,9.678136674455373178e-01,3.019391961498058344e-02
1.734889795918367163e+05,9.682558909063635477e-01,3.211932648600867440e-02
1.785897142857142899e+05,9.677783750975542665e-01,3.236343223920169765e-02
1.836904489795918344e+05,9.653849104257611335e-01,3.296420346994692607e-02
1.887911836734693788e+05,9.584654303431470179e-01,3.552322993570871529e-02
1.938919183673469233e+05,9.523174107638855412e-01,3.875018252185825907e-02
1.989926530612244969e+05,9.515254419733165658e-01,3.568951058140512611e-02
2.040933877551020414e+05,9.549515159311315893e-01,3.214548006636654826e-02
2.091941224489795859e+05,9.593334831129940454e-01,3.722717192695636224e-02
2.142948571428571304e+05,9.633697574278732301e-01,3.953220419249584699e-02
2.193955918367346749e+05,9.676727762102169672e-01,3.498546352212505289e-02
2.244963265306122485e+05,9.720920260250327516e-01,2.768136727029849378e-02
2.295970612244897929e+05,9.749542295731068453e-01,2.469175115008087271e-02
2.346977959183673374e+05,9.752625022204227667e-01,2.877469183025331556e-02
2.397985306122448819e+05,9.731133048201829894e-01,3.674030659984579145e-02
2.448992653061224264e+05,9.707004783621726585e-01,4.336793090975355619e-02
2.500000000000000000e+05,9.672544002913602279e-01,4.915131413571456609e-02
