x,y_mean,y_std
6.400000000000000000e+01,5.474243980715850499e-01,3.032647250667659319e-02
2.042653061224489647e+04,5.778965177165731326e-01,3.545749730563055313e-02
4.078906122448979295e+04,6.261991319931190514e-01,4.349111128011338284e-02
6.115159183673468942e+04,6.904502277187836157e-01,4.935845387716423366e-02
8.151412244897958590e+04,7.592031416284148460e-01,4.860570383944479156e-02
1.018766530612244824e+05,8.125648770945417265e-01,4.168250202160298651e-02
1.222391836734693788e+05,8.410430124833077059e-01,3.215410115449369999e-02
1.426017142857142608e+05,8.539477166499143124e-01,2.398850920599838663e-02
1.629642448979591718e+05,8.597543184069328381e-01,2.185795000516245826e-02
1.833267755102040828e+05,8.616362361065069697e-01,2.798379091259167728e-02
2.036893061224489647e+05,8.619655907121084315e-01,3.552091552524729717e-02
2.240518367346938467e+05,8.616061339341627434e-01,3.978111710215240238e-02
2.444143673469387577e+05,8.599502710419477669e-01,4.133723238432612107e-02
2.647768979591836687e+05,8.587603643165140355e-01,4.108676660893936100e-02
2.851394285714285215e+05,8.611275016139472438e-01,3.753402716086896851e-02
3.055019591836734326e+05,8.666698550807712120e-01,3.109731088908395877e-02
3.258644897959183436e+05,8.730800069204999181e-01,2.352227850708031587e-02
3.462270204081632546e+05,8.782632456393498765e-01,1.591109868552701215e-02
3.665895510204081656e+05,8.788538505768483944e-01,1.533842133088353897e-02
3.869520816326530185e+05,8.751845302760399292e-01,1.692095142160528892e-02
4.073146122448979295e+05,8.714637289276419008e-01,1.681513294024975999e-02
4.276771428571428405e+05,8.701413521715514188e-01,1.816687270831946963e-02
4.480396734693876933e+05,8.702993532247418340e-01,1.949669940140564064e-02
4.684022040816326044e+05,8.703565855386712347e-01,1.724007959568942677e-02
4.887647346938775154e+05,8.697448223221853070e-01,1.054030351381003011e-02
5.091272653061224264e+05,8.687855958829647784e-01,5.097222871773347298e-03
5.294897959183673374e+05,8.677396905368714997e-01,7.368040692436605629e-03
5.498523265306121903e+05,8.670556786350601675e-01,1.296854497009364282e-02
5.702148571428570431e+05,8.696175854459550214e-01,1.786859868218754893e-02
5.905773877551020123e+05,8.780355745134867940e-01,1.791994206896835307e-02
6.109399183673468651e+05,8.880151157328896039e-01,1.553558298338658314e-02
6.313024489795918344e+05,8.932448257393129643e-01,1.373617616035826237e-02
6.516649795918366872e+05,8.924207027970553208e-01,1.256059579929329380e-02
6.720275102040815400e+05,8.881333933533422931e-01,1.488619790683044959e-02
6.923900408163265092e+05,8.846578026714230214e-01,1.991659503808506856e-02
7.127525714285713620e+05,8.844467978176278056e-01,2.250270726313673836e-02
7.331151020408163313e+05,8.854006083429369900e-01,2.201386220033996199e-02
7.534776326530611841e+05,8.837186062307186285e-01,2.225406754820443214e-02
7.738401632653060369e+05,8.804821245389440332e-01,2.328864934660498584e-02
7.942026938775510062e+05,8.789458830327212535e-01,2.181991610793508271e-02
8.145652244897958590e+05,8.789719620514191423e-01,1.728961693765351110e-02
8.349277551020407118e+05,8.795025278906203337e-01,1.282180781458654509e-02
8.552902857142856810e+05,8.809517720916886230e-01,1.021248810013837896e-02
8.756528163265305338e+05,8.828033663005243614e-01,9.519469741689625536e-03
8.960153469387753867e+05,8.830200024591740027e-01,1.050174546591315511e-02
9.163778775510203559e+05,8.813234487326317979e-01,9.757475705310436620e-03
9.367404081632652087e+05,8.809106467608938118e-01,7.868669158180427101e-03
9.571029387755101779e+05,8.844190028495451106e-01,6.334891436820655648e-03
9.774654693877550308e+05,8.900131066262130242e-01,4.823105552281881092e-03
9.978280000000000000e+05,8.948120783871793549e-01,5.316525398213757005e-03
