x,y_mean,y_std
6.400000000000000000e+01,5.574429432727766587e-01,4.914850234504163778e-02
2.042653061224489647e+04,5.990894324052121744e-01,5.135810595357109126e-02
4.078906122448979295e+04,6.645082821784222826e-01,5.519034747479888148e-02
6.115159183673468942e+04,7.508494010643411709e-01,5.794102024472418816e-02
8.151412244897958590e+04,8.400541872217128780e-01,5.588999373301566792e-02
1.018766530612244824e+05,9.054447515069797836e-01,4.790375800489384689e-02
1.222391836734693788e+05,9.392108000402652479e-01,3.810135639494902082e-02
1.426017142857142608e+05,9.550774408623883271e-01,3.143507934159251588e-02
1.629642448979591718e+05,9.618797889677536128e-01,2.914865802886040802e-02
1.833267755102040828e+05,9.632404841883401847e-01,2.951305687110005946e-02
2.036893061224489647e+05,9.636356014929082781e-01,3.065850737802163287e-02
2.240518367346938467e+05,9.647579029674409057e-01,3.226554140253710262e-02
2.444143673469387577e+05,9.650055270955872899e-01,3.379550714290405211e-02
2.647768979591836687e+05,9.645894903988461166e-01,3.300329000586520872e-02
2.851394285714285215e+05,9.659323498211975778e-01,2.860532392416113845e-02
3.055019591836734326e+05,9.690989923716738508e-01,2.278727490124559524e-02
3.258644897959183436e+05,9.721391252923977655e-01,1.836247337630159127e-02
3.462270204081632546e+05,9.737432043925267067e-01,1.460533796875659700e-02
3.665895510204081656e+05,9.733251800184306024e-01,1.288906729062324306e-02
3.869520816326530185e+05,9.719017084006139617e-01,1.170153833981274830e-02
4.073146122448979295e+05,9.715263479040044947e-01,9.817791594141365638e-03
4.276771428571428405e+05,9.726765634299544550e-01,1.052129051061908432e-02
4.480396734693876933e+05,9.741060745705750756e-01,1.272158533914861944e-02
4.684022040816326044e+05,9.753948330194466276e-01,1.357018394356623511e-02
4.887647346938775154e+05,9.777451617366592629e-01,1.226454127040584735e-02
5.091272653061224264e+05,9.819003171132015817e-01,1.035378070973782920e-02
5.294897959183673374e+05,9.858104113763426213e-01,8.604193500596303557e-03
5.498523265306121903e+05,9.864759499645977536e-01,7.719840034449630163e-03
5.702148571428570431e+05,9.835384315576339853e-01,8.388522015962402226e-03
5.905773877551020123e+05,9.805872362258949426e-01,1.070524314630032919e-02
6.109399183673468651e+05,9.806700629391158497e-01,1.113926994270771770e-02
6.313024489795918344e+05,9.828706260401762762e-01,9.927789466299177454e-03
6.516649795918366872e+05,9.845139318550893970e-01,1.014583447174503134e-02
6.720275102040815400e+05,9.842965282812382588e-01,1.260122426845469885e-02
6.923900408163265092e+05,9.837084005939960019e-01,1.511647663955349719e-02
7.127525714285713620e+05,9.843748774504424981e-01,1.609963575916946096e-02
7.331151020408163313e+05,9.855358916337927377e-01,1.640258134463622175e-02
7.534776326530611841e+05,9.851631874179422876e-01,1.825760382958341310e-02
7.738401632653060369e+05,9.828056240701238400e-01,1.940911481906048425e-02
7.942026938775510062e+05,9.797135849239179128e-01,1.629518916987177449e-02
8.145652244897958590e+05,9.778616409612382876e-01,1.105941327567116703e-02
8.349277551020407118e+05,9.786186506859422263e-01,6.516760893984356075e-03
8.552902857142856810e+05,9.808113443651820251e-01,1.804629884610876389e-03
8.756528163265305338e+05,9.824503259475388939e-01,2.097962579735524000e-03
8.960153469387753867e+05,9.830208866004852553e-01,4.043542642599994713e-03
9.163778775510203559e+05,9.834048520055175269e-01,5.221182018752829578e-03
9.367404081632652087e+05,9.845976720400411164e-01,5.926676980728910055e-03
9.571029387755101779e+05,9.867761075649366109e-01,5.610189395204792304e-03
9.774654693877550308e+05,9.891814382856864984e-01,4.960218875624439888e-03
9.978280000000000000e+05,9.910995187317525046e-01,4.824694804839207464e-03
