x,y_mean,y_std
6.400000000000000000e+01,5.018200879070036091e-01,2.893706054662763608e-02
2.047077551020408282e+04,5.078098428659633123e-01,2.502989599628718809e-02
4.087755102040816564e+04,5.128901256593900726e-01,2.470899215187701697e-02
6.128432653061224846e+04,5.146613765052624467e-01,2.634438579675588490e-02
8.169110204081633128e+04,5.130699366279362073e-01,2.770441820615026501e-02
1.020978775510204141e+05,5.112723234555894836e-01,3.071489589899567899e-02
1.225046530612244969e+05,5.118585826847972253e-01,3.630006847541412951e-02
1.429114285714285797e+05,5.125038077239514323e-01,4.042483931265655750e-02
1.633182040816326626e+05,5.110663281227908472e-01,4.097606269294808146e-02
1.837249795918367454e+05,5.108115865023543645e-01,3.817934374316958590e-02
2.041317551020408282e+05,5.146643784638528230e-01,3.774066163478515673e-02
2.245385306122449110e+05,5.211410698669654007e-01,4.311899946020762014e-02
2.449453061224489938e+05,5.270373983110768767e-01,5.001491006273912215e-02
2.653520816326530767e+05,5.295679047472752199e-01,5.545194856242193632e-02
2.857588571428571595e+05,5.300580308520965733e-01,5.780332781837763806e-02
3.061656326530612423e+05,5.340459139290222312e-01,5.621376682806535074e-02
3.265724081632653251e+05,5.423109062996533947e-01,5.125825572648750467e-02
3.469791836734694079e+05,5.479812721975075851e-01,4.953101982598772518e-02
3.673859591836734908e+05,5.446798681944912124e-01,5.432267197525517816e-02
3.877927346938775736e+05,5.369840974454602733e-01,6.245208450917008602e-02
4.081995102040816564e+05,5.372056427726540351e-01,6.947351491570218085e-02
4.286062857142857392e+05,5.474590416508172686e-01,7.660778640920117011e-02
4.490130612244898221e+05,5.592722526433818730e-01,8.697247538470852246e-02
4.694198367346939049e+05,5.683636696818594736e-01,9.492946302328604535e-02
4.898266122448979877e+05,5.805457718126079136e-01,9.681790464912394534e-02
5.102333877551020705e+05,5.989822149481479618e-01,9.544258633702272510e-02
5.306401632653061533e+05,6.145314445668315084e-01,9.546824729198261084e-02
5.510469387755102944e+05,6.179316344805736438e-01,9.984938816704129472e-02
5.714537142857143190e+05,6.116320736985747519e-01,1.072579755816697178e-01
5.918604897959183436e+05,6.070022594957317219e-01,1.130960531322788565e-01
6.122672653061224846e+05,6.105210318276498294e-01,1.149114844567515337e-01
6.326740408163266256e+05,6.170249304794953593e-01,1.156119310690914698e-01
6.530808163265306503e+05,6.215810525093967698e-01,1.170133277215726769e-01
6.734875918367346749e+05,6.250241883565664791e-01,1.180687908998660218e-01
6.938943673469388159e+05,6.298627531190599260e-01,1.155519534123609082e-01
7.143011428571429569e+05,6.361406896179468973e-01,1.057621572346407052e-01
7.347079183673469815e+05,6.424040671818282977e-01,9.028500970699172845e-02
7.551146938775510062e+05,6.483804220700282173e-01,7.651675383473856284e-02
7.755214693877551472e+05,6.544947676996519803e-01,6.961765330273354813e-02
7.959282448979592882e+05,6.595647468594975082e-01,6.845251988918674146e-02
8.163350204081633128e+05,6.610982041544956056e-01,7.087568048568394785e-02
8.367417959183673374e+05,6.580630161978644477e-01,7.595453402736475346e-02
8.571485714285714785e+05,6.529256587711762538e-01,8.136042629195618103e-02
8.775553469387756195e+05,6.514375201904847312e-01,8.481426661173788184e-02
8.979621224489796441e+05,6.573459803809859059e-01,8.695333169129283724e-02
9.183688979591836687e+05,6.678881680722997816e-01,9.082471327888309853e-02
9.387756734693878097e+05,6.782304309691838951e-01,9.822047574609693577e-02
9.591824489795919508e+05,6.872960733158701707e-01,1.033822715844264356e-01
9.795892244897959754e+05,6.955424012770896613e-01,9.971543661230367062e-02
9.999960000000000000e+05,7.021959335749394793e-01,8.937369262893837818e-02
