x,y_mean,y_std
6.400000000000000000e+01,5.029419561481384138e-01,6.539537069735003143e-03
2.047077551020408282e+04,5.098845544930438178e-01,7.684726603335996845e-03
4.087755102040816564e+04,5.160808894770885225e-01,1.563021149198246668e-02
6.128432653061224846e+04,5.175190319860232258e-01,1.676344012316642595e-02
8.169110204081633128e+04,5.121792059320985357e-01,1.081534717444376965e-02
1.020978775510204141e+05,5.003442847043011454e-01,1.361929528099219827e-02
1.225046530612244969e+05,4.860653807295935436e-01,2.809129542936978502e-02
1.429114285714285797e+05,4.778371669436320412e-01,3.285227734808692651e-02
1.633182040816326626e+05,4.789584410069677722e-01,2.657053339035704217e-02
1.837249795918367454e+05,4.860641913741824416e-01,1.883429587740661354e-02
2.041317551020408282e+05,4.954572700888778547e-01,1.452357475866122155e-02
2.245385306122449110e+05,5.014676345244080125e-01,1.087408905428354292e-02
2.449453061224489938e+05,5.003569995523127201e-01,6.406155428360653555e-03
2.653520816326530767e+05,4.971571421771503463e-01,4.802501456194618358e-03
2.857588571428571595e+05,5.006963283580605495e-01,6.730574530938007553e-03
3.061656326530612423e+05,5.091460474198380437e-01,7.061401772013674479e-03
3.265724081632653251e+05,5.127659452659661943e-01,1.117364986604095674e-02
3.469791836734694079e+05,5.080776093291293760e-01,2.161641071136264497e-02
3.673859591836734908e+05,4.997835480176212042e-01,2.767194344286487417e-02
3.877927346938775736e+05,4.925042320813491914e-01,2.501772860395461845e-02
4.081995102040816564e+05,4.881470567907337799e-01,1.687300360070767558e-02
4.286062857142857392e+05,4.880417701330034275e-01,1.178999224729313823e-02
4.490130612244898221e+05,4.911194101857456751e-01,1.931589592279791753e-02
4.694198367346939049e+05,4.934986661221166804e-01,2.422764970959701350e-02
4.898266122448979877e+05,4.935865391947297787e-01,2.005978993277384229e-02
5.102333877551020705e+05,4.929219320635090940e-01,1.170836310671768792e-02
5.306401632653061533e+05,4.927053727138819283e-01,8.392512853347779134e-03
5.510469387755102944e+05,4.920477001750304669e-01,7.375534875985744442e-03
5.714537142857143190e+05,4.891628552663419560e-01,8.441865949973184971e-03
5.918604897959183436e+05,4.847758312804165137e-01,2.386556825184218619e-02
6.122672653061224846e+05,4.841732464787716905e-01,3.338352968439690233e-02
6.326740408163266256e+05,4.921445373634746323e-01,2.691184933246908856e-02
6.530808163265306503e+05,5.075153815100504895e-01,9.277200996681172693e-03
6.734875918367346749e+05,5.234790992522555531e-01,1.574021007205708006e-02
6.938943673469388159e+05,5.316666607124085342e-01,3.057079776840780985e-02
7.143011428571429569e+05,5.300950916969656701e-01,3.681066377480646246e-02
7.347079183673469815e+05,5.219313878618824232e-01,3.775901918682370711e-02
7.551146938775510062e+05,5.087041685684394743e-01,3.413578515641759598e-02
7.755214693877551472e+05,4.924839175205391606e-01,2.476811376161295458e-02
7.959282448979592882e+05,4.809381632747517510e-01,1.567752052003745095e-02
8.163350204081633128e+05,4.805752924417266980e-01,1.442516224350661250e-02
8.367417959183673374e+05,4.882816301699152706e-01,1.565365507729371553e-02
8.571485714285714785e+05,4.961585243499402331e-01,1.790550796430881095e-02
8.775553469387756195e+05,5.009877021498124749e-01,2.265582588129806327e-02
8.979621224489796441e+05,5.051103212374952189e-01,2.281573519225492744e-02
9.183688979591836687e+05,5.112081591529848978e-01,1.549897382122485817e-02
9.387756734693878097e+05,5.192244933738925372e-01,8.689918119576523631e-03
9.591824489795919508e+05,5.248877404534251223e-01,1.647545807675160345e-02
9.795892244897959754e+05,5.233451411694525213e-01,2.482030967387292841e-02
9.999960000000000000e+05,5.154385207135945279e-01,2.810739098251358037e-02
