x,y_mean,y_std
6.400000000000000000e+01,5.130141514845253381e-01,5.265486471326319418e-02
2.047077551020408282e+04,5.246307453874706761e-01,3.527726653756455694e-02
4.087755102040816564e+04,5.304649941205393793e-01,1.611191623774138951e-02
6.128432653061224846e+04,5.274427487237263179e-01,1.358742301681905434e-02
8.169110204081633128e+04,5.168875328574319417e-01,2.587605228405838800e-02
1.020978775510204141e+05,4.989950336964183997e-01,3.813118530554129859e-02
1.225046530612244969e+05,4.769373684810949143e-01,4.190183159815850239e-02
1.429114285714285797e+05,4.612997830705590774e-01,3.683226309645483421e-02
1.633182040816326626e+05,4.578070795942622007e-01,3.367112013553867633e-02
1.837249795918367454e+05,4.649680440777035351e-01,3.283904904109700984e-02
2.041317551020408282e+05,4.807754311034772576e-01,2.984010332588723363e-02
2.245385306122449110e+05,4.977346950508237944e-01,2.489459851257861886e-02
2.449453061224489938e+05,5.050703395534809070e-01,1.712594232166307281e-02
2.653520816326530767e+05,5.015166112808171484e-01,1.382664974918866065e-02
2.857588571428571595e+05,4.980157211664265060e-01,2.738143573739702449e-02
3.061656326530612423e+05,4.981176910455224482e-01,3.484744103937595372e-02
3.265724081632653251e+05,4.919298303864812483e-01,3.273061109579843836e-02
3.469791836734694079e+05,4.773980179478776731e-01,3.068899914863146283e-02
3.673859591836734908e+05,4.669150792674748307e-01,2.720400763041942380e-02
3.877927346938775736e+05,4.671979571353187533e-01,2.471576521244138805e-02
4.081995102040816564e+05,4.721297152007529196e-01,2.858956740349821030e-02
4.286062857142857392e+05,4.791348207676641158e-01,3.412835325610326376e-02
4.490130612244898221e+05,4.884536879049813374e-01,3.800355604900646639e-02
4.694198367346939049e+05,4.939601425179022121e-01,3.590607716493973006e-02
4.898266122448979877e+05,4.917485766141790893e-01,2.449684664734992981e-02
5.102333877551020705e+05,4.860429009003903733e-01,1.470702609398983132e-02
5.306401632653061533e+05,4.818440178978941058e-01,1.311931518524040580e-02
5.510469387755102944e+05,4.837609427782062488e-01,1.196696110517982310e-02
5.714537142857143190e+05,4.955863000688263686e-01,1.894389521383842839e-02
5.918604897959183436e+05,5.145414818947520175e-01,3.296472910515328703e-02
6.122672653061224846e+05,5.319072341940569437e-01,4.212088785057176848e-02
6.326740408163266256e+05,5.439377418741180303e-01,4.325463671565121793e-02
6.530808163265306503e+05,5.525615804426322608e-01,3.600059195635259973e-02
6.734875918367346749e+05,5.560488391523117357e-01,2.203429779851946366e-02
6.938943673469388159e+05,5.497201595890433001e-01,1.687376571363721420e-02
7.143011428571429569e+05,5.363547163827984132e-01,1.670298044382858074e-02
7.347079183673469815e+05,5.238289951729946381e-01,1.242381062777003081e-02
7.551146938775510062e+05,5.146844657053766259e-01,6.886744911808815282e-03
7.755214693877551472e+05,5.074092285546356607e-01,8.107572006864469452e-03
7.959282448979592882e+05,5.039854280102358253e-01,1.504481917468479188e-02
8.163350204081633128e+05,5.042814361115779409e-01,2.190809789221366544e-02
8.367417959183673374e+05,5.015865602077289598e-01,2.582814181176687485e-02
8.571485714285714785e+05,4.938304175702472598e-01,2.580005046458774473e-02
8.775553469387756195e+05,4.887254147517290370e-01,2.285381432795905582e-02
8.979621224489796441e+05,4.913603529226170386e-01,2.239705452565720484e-02
9.183688979591836687e+05,4.989556171906340820e-01,2.819153277904579841e-02
9.387756734693878097e+05,5.051026134637468523e-01,3.529848301748474831e-02
9.591824489795919508e+05,5.041714770227176956e-01,3.802058610310461023e-02
9.795892244897959754e+05,4.970664251918006649e-01,4.068819231687379606e-02
9.999960000000000000e+05,4.892223439076734959e-01,4.451915744655325635e-02
