x,y_mean,y_std
6.400000000000000000e+01,4.495595901836533237e-01,6.838906852993499597e-02
5.164734693877550853e+03,4.599118825953792955e-01,7.276556278342673212e-02
1.026546938775510171e+04,4.699591573041709269e-01,8.852501295091445843e-02
1.536620408163265165e+04,4.863853678469992059e-01,9.293371076015453924e-02
2.046693877551020341e+04,5.096324821024043050e-01,7.873794179501847346e-02
2.556767346938775518e+04,5.315093501534946530e-01,7.579858172147460604e-02
3.066840816326530330e+04,5.376444884547767478e-01,7.371920879491597467e-02
3.576914285714285506e+04,5.413619664792838071e-01,6.008191185641931914e-02
4.086987755102040683e+04,5.470994146717256257e-01,5.994042113956102313e-02
4.597061224489795859e+04,5.598706928194266963e-01,5.506499154404524699e-02
5.107134693877551035e+04,5.710371591404141967e-01,4.762034773781482350e-02
5.617208163265306212e+04,5.749113262311726924e-01,5.011598682853955766e-02
6.127281632653060660e+04,5.733615355928425306e-01,5.439911469798754118e-02
6.637355102040816564e+04,5.695019435210891823e-01,4.824182862585885134e-02
7.147428571428571013e+04,5.625246391967738679e-01,3.635618187553214808e-02
7.657502040816326917e+04,5.532612774934886346e-01,3.166527381874854885e-02
8.167575510204081365e+04,5.438190064288372927e-01,3.762980671398319377e-02
8.677648979591835814e+04,5.346531139089318874e-01,4.847196969474158734e-02
9.187722448979591718e+04,5.291960072577113205e-01,5.707285283467963127e-02
9.697795918367346167e+04,5.349464532135120853e-01,5.618252309811221090e-02
1.020786938775510207e+05,5.509346486081239114e-01,4.456594500195185105e-02
1.071794285714285652e+05,5.654210798928284154e-01,3.184679055363501265e-02
1.122801632653061242e+05,5.731824051520817420e-01,2.892428881133835700e-02
1.173808979591836687e+05,5.806281040486983569e-01,3.362540402823492591e-02
1.224816326530612132e+05,5.944540878544051221e-01,3.376389791593568251e-02
1.275823673469387722e+05,6.095300734995378056e-01,3.560678170412386045e-02
1.326831020408163313e+05,6.200025231459967978e-01,4.682216646811456634e-02
1.377838367346938758e+05,6.216649933345504975e-01,4.310993044129611540e-02
1.428845714285714203e+05,6.207801499420153579e-01,4.017869608376373192e-02
1.479853061224489647e+05,6.203221300925164661e-01,5.014205508783309284e-02
1.530860408163265383e+05,6.192092523328248665e-01,6.032791872905235442e-02
1.581867755102040828e+05,6.148887343966673580e-01,5.441812469081464682e-02
1.632875102040816273e+05,6.100489346572681715e-01,3.227970291161233463e-02
1.683882448979591718e+05,6.088601310409218481e-01,1.626718893841651303e-02
1.734889795918367163e+05,6.103595980969427348e-01,1.373924663022431554e-02
1.785897142857142899e+05,6.063286586957837843e-01,1.402924696325690002e-02
1.836904489795918344e+05,5.942318852317439726e-01,2.394892267822607695e-02
1.887911836734693788e+05,5.872825159517494065e-01,3.341125380621283447e-02
1.938919183673469233e+05,5.948292886593650186e-01,2.750789015981340568e-02
1.989926530612244969e+05,6.095439683583447898e-01,1.498598779184307818e-02
2.040933877551020414e+05,6.210511976153424429e-01,2.479632169045467571e-02
2.091941224489795859e+05,6.264440222942827541e-01,4.105785811324647733e-02
2.142948571428571304e+05,6.297767748681030175e-01,5.109359445347658873e-02
2.193955918367346749e+05,6.341711498173214778e-01,5.099811153792493251e-02
2.244963265306122485e+05,6.400329303016294435e-01,4.844040884423071736e-02
2.295970612244897929e+05,6.473320205300436836e-01,4.299341423998758599e-02
2.346977959183673374e+05,6.569729641504884476e-01,3.099602496246419911e-02
2.397985306122448819e+05,6.633599056965622243e-01,2.718669727521591875e-02
2.448992653061224264e+05,6.565908591916317372e-01,3.428511956165238711e-02
2.500000000000000000e+05,6.378979396506415656e-01,3.940618704944114786e-02
