x,y_mean,y_std
6.400000000000000000e+01,4.186302259010289961e-01,1.113621560388690507e-01
5.164734693877550853e+03,4.189095770861879231e-01,1.030064930694146175e-01
1.026546938775510171e+04,4.180717625792874648e-01,1.082114985049787287e-01
1.536620408163265165e+04,4.260373596087235204e-01,1.104332155566996737e-01
2.046693877551020341e+04,4.561260867853405010e-01,9.104882998391732041e-02
2.556767346938775518e+04,4.935164799577008710e-01,9.123823608781718442e-02
3.066840816326530330e+04,5.220666684321388917e-01,9.550416272968573206e-02
3.576914285714285506e+04,5.350161392950982808e-01,8.472459295477950680e-02
4.086987755102040683e+04,5.435668573850763741e-01,8.769173062416087128e-02
4.597061224489795859e+04,5.480625222228111548e-01,7.836564405896703778e-02
5.107134693877551035e+04,5.682809912997642821e-01,5.740959615254685039e-02
5.617208163265306212e+04,6.079357722849044743e-01,4.197820223879614177e-02
6.127281632653060660e+04,6.450274693733277775e-01,2.977318956098592984e-02
6.637355102040816564e+04,6.634388214365355418e-01,1.577948308695727511e-02
7.147428571428571013e+04,6.656955750559713225e-01,3.377630034561886901e-02
7.657502040816326917e+04,6.638802638010675716e-01,4.679114481790271757e-02
8.167575510204081365e+04,6.626437938999792943e-01,5.757253547789749348e-02
8.677648979591835814e+04,6.637506477820388495e-01,7.567567916610803969e-02
9.187722448979591718e+04,6.682143973410215043e-01,8.674487995322813227e-02
9.697795918367346167e+04,6.782615253040524816e-01,8.056294192140492361e-02
1.020786938775510207e+05,6.993430153669137894e-01,6.232889981366739746e-02
1.071794285714285652e+05,7.385932255892504461e-01,4.419895003313896453e-02
1.122801632653061242e+05,7.947164823919347088e-01,2.965217439908525085e-02
1.173808979591836687e+05,8.507487991505854330e-01,2.957014569140842611e-02
1.224816326530612132e+05,8.884461117933492025e-01,3.390469038702258880e-02
1.275823673469387722e+05,9.125562252042529465e-01,2.591825931543446232e-02
1.326831020408163313e+05,9.287426121881902086e-01,2.646188287049935917e-02
1.377838367346938758e+05,9.328424369515181391e-01,3.150792409695418739e-02
1.428845714285714203e+05,9.330872984728904029e-01,2.589577082160717664e-02
1.479853061224489647e+05,9.298152631614640118e-01,2.503329419385422541e-02
1.530860408163265383e+05,9.194000881222198496e-01,3.703766775295016384e-02
1.581867755102040828e+05,9.062803921962064857e-01,3.795820719765277684e-02
1.632875102040816273e+05,8.953386748277548657e-01,2.653839519794740781e-02
1.683882448979591718e+05,8.862889456358885587e-01,2.018567840301269817e-02
1.734889795918367163e+05,8.828429453298166640e-01,2.233898017172448319e-02
1.785897142857142899e+05,8.906792658274376162e-01,2.696892372981175498e-02
1.836904489795918344e+05,9.095031184312032391e-01,3.531048659882937701e-02
1.887911836734693788e+05,9.272489372694237009e-01,4.016522571568406641e-02
1.938919183673469233e+05,9.352271049753788645e-01,3.602120223652639092e-02
1.989926530612244969e+05,9.343067589919616944e-01,3.479950856512581403e-02
2.040933877551020414e+05,9.316102913571890909e-01,3.594341890564411307e-02
2.091941224489795859e+05,9.343390799927127066e-01,3.619311728985569188e-02
2.142948571428571304e+05,9.405002591714550775e-01,3.916513783054711983e-02
2.193955918367346749e+05,9.452483622299518995e-01,3.754872039098703512e-02
2.244963265306122485e+05,9.447864662843862282e-01,2.978897949266387513e-02
2.295970612244897929e+05,9.410133731486741704e-01,2.225832614760291789e-02
2.346977959183673374e+05,9.382314744273747564e-01,2.056410431892971569e-02
2.397985306122448819e+05,9.371533890238866737e-01,2.107248524627418698e-02
2.448992653061224264e+05,9.343189600238266390e-01,1.864924752225468121e-02
2.500000000000000000e+05,9.265483645767446097e-01,1.450225166142346533e-02
