x,y_mean,y_std
6.400000000000000000e+01,4.917664952946956269e-01,3.220474304228441303e-02
2.047077551020408282e+04,5.092762643206982798e-01,2.733919018579198182e-02
4.087755102040816564e+04,5.276835785216751340e-01,2.423026019887275506e-02
6.128432653061224846e+04,5.433642134117071532e-01,2.168705200549809683e-02
8.169110204081633128e+04,5.541563534814846204e-01,1.975361464547197368e-02
1.020978775510204141e+05,5.607875581199807113e-01,1.401353406171504390e-02
1.225046530612244969e+05,5.666174502927804335e-01,1.159256180506153776e-02
1.429114285714285797e+05,5.730316932398272778e-01,1.452319607836431888e-02
1.633182040816326626e+05,5.803225801408290474e-01,1.371311495797406833e-02
1.837249795918367454e+05,5.910880725134857183e-01,1.382441975471219824e-02
2.041317551020408282e+05,6.042706305635245911e-01,1.582825190755391895e-02
2.245385306122449110e+05,6.156884431870583985e-01,1.851681864385910925e-02
2.449453061224489938e+05,6.243325497801445190e-01,2.059791502165431165e-02
2.653520816326530767e+05,6.293787547835150153e-01,1.977848259061363786e-02
2.857588571428571595e+05,6.290277361370375520e-01,1.718834545281013038e-02
3.061656326530612423e+05,6.257513947271869936e-01,1.823469632463836296e-02
3.265724081632653251e+05,6.237124008431599309e-01,1.966872660592291003e-02
3.469791836734694079e+05,6.219967422955613445e-01,2.570012937018607488e-02
3.673859591836734908e+05,6.171452624232780515e-01,3.383874074241115942e-02
3.877927346938775736e+05,6.100051781083222213e-01,3.357285892804694888e-02
4.081995102040816564e+05,6.055634851117612794e-01,2.694510611652781856e-02
4.286062857142857392e+05,6.062902693006548827e-01,1.829796798067699279e-02
4.490130612244898221e+05,6.098836458352264733e-01,9.341660554241766959e-03
4.694198367346939049e+05,6.110813226547321397e-01,3.758840226759158163e-03
4.898266122448979877e+05,6.093030342240737252e-01,8.028317310385784875e-03
5.102333877551020705e+05,6.116677814495761201e-01,1.721162381907614253e-02
5.306401632653061533e+05,6.203827411280284920e-01,2.583234867201016083e-02
5.510469387755102944e+05,6.308369644289089084e-01,2.881938219896025555e-02
5.714537142857143190e+05,6.402027315347016412e-01,2.947267231271879714e-02
5.918604897959183436e+05,6.465495165460080074e-01,3.345671786881535686e-02
6.122672653061224846e+05,6.493795748621377095e-01,3.665236123616321534e-02
6.326740408163266256e+05,6.509217210507594054e-01,3.500747626718666433e-02
6.530808163265306503e+05,6.519546862798838438e-01,2.982688790467821413e-02
6.734875918367346749e+05,6.520487532722267776e-01,2.502889921633055445e-02
6.938943673469388159e+05,6.519822851840839650e-01,2.464288228894104954e-02
7.143011428571429569e+05,6.530486882165795759e-01,2.409593687206957810e-02
7.347079183673469815e+05,6.553551826137508085e-01,2.346207505850556041e-02
7.551146938775510062e+05,6.561808936522846025e-01,2.375814865328552267e-02
7.755214693877551472e+05,6.529360234391126117e-01,2.082444155430238086e-02
7.959282448979592882e+05,6.472851570455088188e-01,1.594960250059063514e-02
8.163350204081633128e+05,6.420351700168767106e-01,1.433861099127240434e-02
8.367417959183673374e+05,6.386334143951802877e-01,1.692224454656656926e-02
8.571485714285714785e+05,6.392304378068035531e-01,2.043641759922032106e-02
8.775553469387756195e+05,6.442296582882557354e-01,2.144586871412105036e-02
8.979621224489796441e+05,6.486043408255297571e-01,1.964289828027756396e-02
9.183688979591836687e+05,6.482941744213528423e-01,1.877515563472290441e-02
9.387756734693878097e+05,6.458564290225291549e-01,1.875163193097453135e-02
9.591824489795919508e+05,6.443968997213029848e-01,1.733812550465653468e-02
9.795892244897959754e+05,6.427150084308321798e-01,1.848319402851541018e-02
9.999960000000000000e+05,6.397130354950386621e-01,2.475962543197906054e-02
