x,y_mean,y_std
6.400000000000000000e+01,4.776385517898044664e-01,3.435078863493207235e-02
5.160489795918367236e+03,4.934234402614106618e-01,2.906761878398258711e-02
1.025697959183673447e+04,5.070758076698227423e-01,2.773229128436724422e-02
1.535346938775510171e+04,5.136142288894399721e-01,2.648218120567382219e-02
2.044995918367346894e+04,5.118836283287279132e-01,2.301159765333185558e-02
2.554644897959183436e+04,5.033815499698912621e-01,2.108603444565870094e-02
3.064293877551020341e+04,4.923638992142150839e-01,2.852571306757965830e-02
3.573942857142857247e+04,4.854600626116494233e-01,3.562488380301355451e-02
4.083591836734693788e+04,4.846023498672770158e-01,4.041701711847196093e-02
4.593240816326530330e+04,4.864512649911545417e-01,4.950832796626605803e-02
5.102889795918366872e+04,4.885539133445837012e-01,5.531706003669593918e-02
5.612538775510204141e+04,4.889223647808005890e-01,4.711508581630066694e-02
6.122187755102040683e+04,4.859949563845544773e-01,2.989035388990012379e-02
6.631836734693877224e+04,4.844633057500580264e-01,2.350469304394938591e-02
7.141485714285714494e+04,4.930562405767351386e-01,2.790177230467469002e-02
7.651134693877550308e+04,5.064414371160157469e-01,2.918096836639858319e-02
8.160783673469387577e+04,5.094433527921891081e-01,2.942705171217360055e-02
8.670432653061224846e+04,4.998109892094113604e-01,2.915044131101507049e-02
9.180081632653060660e+04,4.891570219645168249e-01,2.745688630065774849e-02
9.689730612244897929e+04,4.867929358011522933e-01,2.565357570305966742e-02
1.019937959183673374e+05,4.918981364857201166e-01,2.737404577345596210e-02
1.070902857142857101e+05,5.009397531581603058e-01,3.071237636038244914e-02
1.121867755102040828e+05,5.124593222027580275e-01,3.667976445493905530e-02
1.172832653061224410e+05,5.227971116798867390e-01,4.165449927802909041e-02
1.223797551020408137e+05,5.268659501712319448e-01,3.718315820773141628e-02
1.274762448979591863e+05,5.266094157022336297e-01,2.742120684515047743e-02
1.325727346938775445e+05,5.273387315881792325e-01,2.326057266198289925e-02
1.376692244897959172e+05,5.275579832507915068e-01,2.120462767555431408e-02
1.427657142857142899e+05,5.209575663602619144e-01,1.679636783362059571e-02
1.478622040816326626e+05,5.022189126688924032e-01,1.679424327267142400e-02
1.529586938775510062e+05,4.761018989603530427e-01,1.780625217817732864e-02
1.580551836734693788e+05,4.559831827451552577e-01,1.417253158676700688e-02
1.631516734693877515e+05,4.505741279129408250e-01,1.191008365414684446e-02
1.682481632653061242e+05,4.578614873244422623e-01,1.359460007932658358e-02
1.733446530612244969e+05,4.711542702079779543e-01,1.233011816944656544e-02
1.784411428571428405e+05,4.875810665182944703e-01,1.299116492711673357e-02
1.835376326530612132e+05,5.070579991888821692e-01,2.176811457988335127e-02
1.886341224489795859e+05,5.217489362851663870e-01,2.875120542732161402e-02
1.937306122448979586e+05,5.207255523286280496e-01,2.876218234668167367e-02
1.988271020408163313e+05,5.062994012641798269e-01,2.737307056188748727e-02
2.039235918367346749e+05,4.922696305569861375e-01,2.523214652637929128e-02
2.090200816326530476e+05,4.898684659236510197e-01,2.942872150009908858e-02
2.141165714285714203e+05,4.998009425608339606e-01,4.299645554008587472e-02
2.192130612244897929e+05,5.094628579642166422e-01,4.500602723668103988e-02
2.243095510204081656e+05,5.066589711072664315e-01,3.266739574166079019e-02
2.294060408163265383e+05,4.987012921643136920e-01,1.981026388755046871e-02
2.345025306122448819e+05,4.988724558821034938e-01,1.554428805838619330e-02
2.395990204081632546e+05,5.071488292271583154e-01,2.407840335036455504e-02
2.446955102040816273e+05,5.138274159207404379e-01,3.689796245611078745e-02
2.497920000000000000e+05,5.140702656907056856e-01,4.418115911432419357e-02
