x,y_mean,y_std
6.400000000000000000e+01,4.775944310581256569e-01,2.845676734642040018e-02
5.160489795918367236e+03,4.952791408950218965e-01,2.275350200637122483e-02
1.025697959183673447e+04,5.102760744874910159e-01,2.054678032368882981e-02
1.535346938775510171e+04,5.159577534670549692e-01,2.254569941657814242e-02
2.044995918367346894e+04,5.121953423464878918e-01,1.881698140349724255e-02
2.554644897959183436e+04,5.050479395847671249e-01,9.914627584616680228e-03
3.064293877551020341e+04,5.018899810281899354e-01,2.766240106656041309e-02
3.573942857142857247e+04,5.036720669371780312e-01,4.321354838936556503e-02
4.083591836734693788e+04,5.054144311432249292e-01,4.776188537869623801e-02
4.593240816326530330e+04,5.043850632641200260e-01,5.340072362016715091e-02
5.102889795918366872e+04,5.008487406216876048e-01,5.938315860980934030e-02
5.612538775510204141e+04,4.955419043858205752e-01,5.061659636788323757e-02
6.122187755102040683e+04,4.888175435030798210e-01,3.422456413571960121e-02
6.631836734693877224e+04,4.849219026293815626e-01,3.227172411206282593e-02
7.141485714285714494e+04,4.918418322404782828e-01,3.763307089949739087e-02
7.651134693877550308e+04,5.055836868414531615e-01,3.758079206845318238e-02
8.160783673469387577e+04,5.102769587470756818e-01,3.312687720612866177e-02
8.670432653061224846e+04,5.005561421650650544e-01,3.076129992988243383e-02
9.180081632653060660e+04,4.894658433686006616e-01,3.399027207315852978e-02
9.689730612244897929e+04,4.914683910839217629e-01,3.554910661107828218e-02
1.019937959183673374e+05,5.058557529155602861e-01,3.337025313846896102e-02
1.070902857142857101e+05,5.237125923132120997e-01,3.314786186164802445e-02
1.121867755102040828e+05,5.391673711278399672e-01,3.065494548114775647e-02
1.172832653061224410e+05,5.485526566438417850e-01,2.949609985609489768e-02
1.223797551020408137e+05,5.487014253311062184e-01,2.981607179032987401e-02
1.274762448979591863e+05,5.422790899762622852e-01,2.476261242528970258e-02
1.325727346938775445e+05,5.356451840052092184e-01,2.183438247596544354e-02
1.376692244897959172e+05,5.301926407569217403e-01,2.236572386579227523e-02
1.427657142857142899e+05,5.228008848531900954e-01,2.074853342517031518e-02
1.478622040816326626e+05,5.081840714412027005e-01,2.287269356615319327e-02
1.529586938775510062e+05,4.853824891041184086e-01,2.661508466743649562e-02
1.580551836734693788e+05,4.644367118812944284e-01,2.706033081298746257e-02
1.631516734693877515e+05,4.574128423436783497e-01,2.896933486292561574e-02
1.682481632653061242e+05,4.653569040943936197e-01,3.152599330110382458e-02
1.733446530612244969e+05,4.792093858707625609e-01,2.897447217145444898e-02
1.784411428571428405e+05,4.926663405067631674e-01,2.188440900957131993e-02
1.835376326530612132e+05,5.065870583572619212e-01,1.671832817943550917e-02
1.886341224489795859e+05,5.162016276608769605e-01,1.869988205534960438e-02
1.937306122448979586e+05,5.123729980458111566e-01,1.889313938892387204e-02
1.988271020408163313e+05,4.984606091552444829e-01,2.248598058680064543e-02
2.039235918367346749e+05,4.874676784475943103e-01,2.466604133263139778e-02
2.090200816326530476e+05,4.864028117798198103e-01,2.670981899374803500e-02
2.141165714285714203e+05,4.928234650091574132e-01,3.320535311676688778e-02
2.192130612244897929e+05,4.971515544457671965e-01,3.268345907317837112e-02
2.243095510204081656e+05,4.931644073884581259e-01,2.488866072210587851e-02
2.294060408163265383e+05,4.886696460622707017e-01,1.556872806509388210e-02
2.345025306122448819e+05,4.943107433133456796e-01,1.506464332885510196e-02
2.395990204081632546e+05,5.107570521212759784e-01,2.184677546591281411e-02
2.446955102040816273e+05,5.288633363783477037e-01,2.585631593848056534e-02
2.497920000000000000e+05,5.409655931407443274e-01,2.391654047610694556e-02
