x,y_mean,y_std
2.364800000000000000e+04,5.129194596642192572e-01,5.369587308173202206e-02
2.271588571428571304e+05,5.124646789442609540e-01,5.914461221158418686e-02
4.306697142857142608e+05,5.167355398004533917e-01,6.388998038537496704e-02
6.341805714285713620e+05,5.208676341977440671e-01,6.112605347379063830e-02
8.376914285714285215e+05,5.097255099566688763e-01,4.985470284222646292e-02
1.041202285714285681e+06,4.844604668171060835e-01,3.846679919806975795e-02
1.244713142857142724e+06,4.624839173440644657e-01,3.459043796332939708e-02
1.448224000000000000e+06,4.536721135422710494e-01,4.804476684356493582e-02
1.651734857142857043e+06,4.483907497582563795e-01,7.218383613403288324e-02
1.855245714285714086e+06,4.383246956147718865e-01,7.828025733231855354e-02
2.058756571428571362e+06,4.314798381766790092e-01,6.249776314864505938e-02
2.262267428571428638e+06,4.361712296020111568e-01,5.188061143777283196e-02
2.465778285714285448e+06,4.468665090906338011e-01,6.186347662290907906e-02
2.669289142857142724e+06,4.568124295367640419e-01,6.795206581935266110e-02
2.872800000000000000e+06,4.672691081146872483e-01,6.471079334795659666e-02
3.076310857142856810e+06,4.771559442008245222e-01,6.033281082180471516e-02
3.279821714285714086e+06,4.798870586718614328e-01,5.454067820235042330e-02
3.483332571428571362e+06,4.772796268133325803e-01,4.579597200486569541e-02
3.686843428571428172e+06,4.792485601794332917e-01,3.933660349692873204e-02
3.890354285714285448e+06,4.860780105854683453e-01,4.250303120335606477e-02
4.093865142857142724e+06,4.958153506790215492e-01,4.630366054247974511e-02
4.297376000000000000e+06,5.101657418484014661e-01,4.402187552414001115e-02
4.500886857142857276e+06,5.237181264707326811e-01,3.580293491421976393e-02
4.704397714285713620e+06,5.284399863293940403e-01,2.449013237692507228e-02
4.907908571428570896e+06,5.246907409909881137e-01,2.222560473133937745e-02
5.111419428571428172e+06,5.173315098633645137e-01,2.026739063695852036e-02
5.314930285714285448e+06,5.119675520751342246e-01,2.495957507588892482e-02
5.518441142857142724e+06,5.162941598207455574e-01,4.188044077243316399e-02
5.721952000000000000e+06,5.304647816270039451e-01,4.836895875430748809e-02
5.925462857142856345e+06,5.395350326911219074e-01,4.955515263252328190e-02
6.128973714285713620e+06,5.362722559638128939e-01,5.060796493657392786e-02
6.332484571428570896e+06,5.343308371858335182e-01,4.488242515262453464e-02
6.535995428571428172e+06,5.393740744385413510e-01,3.168730028596291465e-02
6.739506285714285448e+06,5.318299464180509251e-01,3.111833368123951421e-02
6.943017142857142724e+06,5.032065364151611098e-01,4.528147748025717484e-02
7.146528000000000000e+06,4.765633943753546653e-01,4.164599967549116599e-02
7.350038857142856345e+06,4.732149235545062282e-01,2.490700257248864430e-02
7.553549714285713620e+06,4.935561865764618306e-01,4.746872775360960750e-02
7.757060571428570896e+06,5.216967040389673960e-01,7.531513478273578477e-02
7.960571428571428172e+06,5.370317262454551432e-01,8.246931178921189376e-02
8.164082285714285448e+06,5.338381666341519560e-01,7.863760224682395106e-02
8.367593142857142724e+06,5.208638232861484418e-01,7.649439408212160840e-02
8.571104000000000000e+06,5.083316460029942974e-01,7.074092223199882068e-02
8.774614857142856345e+06,4.959783968178713698e-01,4.960107747337514500e-02
8.978125714285714552e+06,4.857002384098579872e-01,3.165101395570184967e-02
9.181636571428570896e+06,4.845759121724917406e-01,3.516342629121489011e-02
9.385147428571427241e+06,4.892394782185721103e-01,3.390654224015526852e-02
9.588658285714285448e+06,4.919463736956076194e-01,3.487462354579529134e-02
9.792169142857141793e+06,4.921328281580348296e-01,4.011336842772030009e-02
9.995680000000000000e+06,4.915298660226747884e-01,4.507688391178166915e-02
