x,y_mean,y_std
2.364800000000000000e+04,4.779611463448300013e-01,6.336633258014398584e-02
2.271588571428571304e+05,4.921092948303699144e-01,7.166550588113947129e-02
4.306697142857142608e+05,5.102313978315967669e-01,8.740898071287060700e-02
6.341805714285713620e+05,5.219072354438741845e-01,9.475067788919740164e-02
8.376914285714285215e+05,5.117385788796199320e-01,8.679898006858484394e-02
1.041202285714285681e+06,4.868397297552142788e-01,7.076219618358681185e-02
1.244713142857142724e+06,4.641457445783163105e-01,5.631405953526940483e-02
1.448224000000000000e+06,4.484994937886568889e-01,6.682404157874793915e-02
1.651734857142857043e+06,4.344843043207841649e-01,9.471324519639424955e-02
1.855245714285714086e+06,4.229211264377744084e-01,1.029282926557271854e-01
2.058756571428571362e+06,4.221598529376435205e-01,8.981241978568006712e-02
2.262267428571428638e+06,4.355380193961631008e-01,6.789599716988123368e-02
2.465778285714285448e+06,4.536380001359924252e-01,5.927735570129880754e-02
2.669289142857142724e+06,4.698711135017513696e-01,7.044951065138112256e-02
2.872800000000000000e+06,4.823449583901431303e-01,7.601205950303628611e-02
3.076310857142856810e+06,4.836195286589921594e-01,6.928525248949761461e-02
3.279821714285714086e+06,4.693973793723411059e-01,5.709472519850777861e-02
3.483332571428571362e+06,4.565518116840623364e-01,5.327708236858893359e-02
3.686843428571428172e+06,4.624730844545733577e-01,4.513825825694560423e-02
3.890354285714285448e+06,4.742899884715415237e-01,3.906555867957409167e-02
4.093865142857142724e+06,4.825218227668034987e-01,3.971552935877364215e-02
4.297376000000000000e+06,4.969487476035935880e-01,4.100334114301479316e-02
4.500886857142857276e+06,5.188797867561698585e-01,3.870473091140268218e-02
4.704397714285713620e+06,5.344501785110631342e-01,3.470965959634145226e-02
4.907908571428570896e+06,5.359550261213172906e-01,3.498307304558298525e-02
5.111419428571428172e+06,5.298143893686054762e-01,2.615286047296147554e-02
5.314930285714285448e+06,5.265924777805881529e-01,1.997640285882744740e-02
5.518441142857142724e+06,5.316577868727294653e-01,4.202802799787276611e-02
5.721952000000000000e+06,5.431421155877667051e-01,5.289956283511812463e-02
5.925462857142856345e+06,5.514258003106663475e-01,4.958487972678000955e-02
6.128973714285713620e+06,5.515696779118347548e-01,6.025291093942915926e-02
6.332484571428570896e+06,5.531641396771476149e-01,6.573756512466333302e-02
6.535995428571428172e+06,5.591496984084901589e-01,4.562898124373491321e-02
6.739506285714285448e+06,5.504220745038745921e-01,3.941732002427680154e-02
6.943017142857142724e+06,5.173256802105692387e-01,6.034946812582767106e-02
7.146528000000000000e+06,4.812819999620520650e-01,5.880914860979555292e-02
7.350038857142856345e+06,4.650928181800361716e-01,4.551368963960483044e-02
7.553549714285713620e+06,4.753799178961216620e-01,5.452424094468792670e-02
7.757060571428570896e+06,5.044424415755897062e-01,6.317713465183047439e-02
7.960571428571428172e+06,5.294636400948753430e-01,7.771743686576920718e-02
8.164082285714285448e+06,5.362816234523489767e-01,9.545440948336426923e-02
8.367593142857142724e+06,5.290336408930716994e-01,1.079332014093894593e-01
8.571104000000000000e+06,5.171079389798997061e-01,1.047014659465473757e-01
8.774614857142856345e+06,5.010352282354521014e-01,7.201207500850148602e-02
8.978125714285714552e+06,4.861549610508914543e-01,4.351077116105853126e-02
9.181636571428570896e+06,4.837714929829113331e-01,5.822245972984291251e-02
9.385147428571427241e+06,4.935613821437273563e-01,6.863212463361227644e-02
9.588658285714285448e+06,5.046299414123809335e-01,6.900108409576671820e-02
9.792169142857141793e+06,5.123966488478136627e-01,6.743978865474077600e-02
9.995680000000000000e+06,5.181339197212734282e-01,6.957098313435658432e-02
