x,y_mean,y_std
3.232000000000000000e+04,5.171470665354289675e-01,1.877381163530307540e-02
2.355356734693877515e+05,5.141274837332523440e-01,1.978969051719475097e-02
4.387513469387755031e+05,5.112524773046474014e-01,3.182216430258590772e-02
6.419670204081633128e+05,5.099228629974138505e-01,4.109681981591051941e-02
8.451826938775510062e+05,5.104894025067973073e-01,4.299709679618676089e-02
1.048398367346938699e+06,5.147257212448593799e-01,3.108859802298577155e-02
1.251614040816326626e+06,5.226338871865819913e-01,1.670277331946241547e-02
1.454829714285714319e+06,5.292300117708224061e-01,2.664937809169034069e-02
1.658045387755102012e+06,5.328486118011441786e-01,3.386134355391282741e-02
1.861261061224489706e+06,5.357795690435473990e-01,3.706743635352661992e-02
2.064476734693877399e+06,5.384755888601094886e-01,3.507703705986493087e-02
2.267692408163265325e+06,5.425437097388136065e-01,3.022411216744919082e-02
2.470908081632653251e+06,5.485056586950750601e-01,2.566758104095254872e-02
2.674123755102040712e+06,5.514871460583001817e-01,2.430121757915048100e-02
2.877339428571428638e+06,5.514125377517458126e-01,2.607567808170639656e-02
3.080555102040816098e+06,5.558514863021092323e-01,2.899237081743334665e-02
3.283770775510204025e+06,5.678418283667209243e-01,3.118096711702909862e-02
3.486986448979591951e+06,5.781245531355410083e-01,3.400309832289225703e-02
3.690202122448979411e+06,5.768772740811293209e-01,4.146129805211005992e-02
3.893417795918367337e+06,5.690502524987193222e-01,5.096782925873678122e-02
4.096633469387754798e+06,5.673510943145663177e-01,5.045344847949713440e-02
4.299849142857142724e+06,5.710182794717072463e-01,3.816040219230499436e-02
4.503064816326530650e+06,5.695019642435213969e-01,3.326385263011425591e-02
4.706280489795918576e+06,5.657046506898230076e-01,4.025263075352306791e-02
4.909496163265306503e+06,5.723556918248504655e-01,4.533481830144741459e-02
5.112711836734693497e+06,5.902065643528395800e-01,4.568807379323581996e-02
5.315927510204081424e+06,6.079298391705073579e-01,4.877640584751664204e-02
5.519143183673469350e+06,6.200706703207087278e-01,5.408026882443003891e-02
5.722358857142857276e+06,6.291230372522492731e-01,5.734877582669314217e-02
5.925574530612245202e+06,6.393553466461701085e-01,5.899401307828418262e-02
6.128790204081632197e+06,6.526912839337978278e-01,5.858448326687103191e-02
6.332005877551020123e+06,6.668878455119580106e-01,5.642220001187200212e-02
6.535221551020408049e+06,6.798801026749276000e-01,5.255017477912711510e-02
6.738437224489795975e+06,6.918229593171842939e-01,4.997250260961241114e-02
6.941652897959183902e+06,7.033517173407071166e-01,5.187433299304205353e-02
7.144868571428570896e+06,7.131369144552790473e-01,5.167277877917381135e-02
7.348084244897958823e+06,7.169077788562956410e-01,4.470268977161327706e-02
7.551299918367346749e+06,7.138469073920774566e-01,3.735768560303780184e-02
7.754515591836734675e+06,7.099805523768610849e-01,4.007776022324578691e-02
7.957731265306122601e+06,7.077377743083880235e-01,4.528535943171660416e-02
8.160946938775509596e+06,7.032485374291670421e-01,5.028746407240091559e-02
8.364162612244897522e+06,6.978274016305900940e-01,5.585318877935050580e-02
8.567378285714285448e+06,6.991467767214846196e-01,5.059373188611942379e-02
8.770593959183672443e+06,7.094398854215127059e-01,3.699566474966909518e-02
8.973809632653061301e+06,7.213292906179422648e-01,3.176013731915770105e-02
9.177025306122448295e+06,7.282676716814577844e-01,3.322527329807372504e-02
9.380240979591837153e+06,7.299455955550433472e-01,3.685471773284657721e-02
9.583456653061224148e+06,7.281190236537272709e-01,4.063111620096770266e-02
9.786672326530613005e+06,7.242294668369007038e-01,4.076112190198986907e-02
9.989888000000000000e+06,7.199725068046622933e-01,3.839883744583950931e-02
