x,y_mean,y_std
3.232000000000000000e+04,5.217640224283407457e-01,3.734735763972266143e-02
2.355356734693877515e+05,5.279786195925437742e-01,3.725793305389575594e-02
4.387513469387755031e+05,5.402685930681643267e-01,3.759023823736735298e-02
6.419670204081633128e+05,5.612441471068496668e-01,3.694969512444008786e-02
8.451826938775510062e+05,5.888011110644260082e-01,3.490428805044217681e-02
1.048398367346938699e+06,6.190674078614670783e-01,3.210713426417301231e-02
1.251614040816326626e+06,6.456755325822470803e-01,2.777054974377874547e-02
1.454829714285714319e+06,6.593536596518194681e-01,2.106845953249346023e-02
1.658045387755102012e+06,6.597597328176725284e-01,2.037760277738033185e-02
1.861261061224489706e+06,6.551720342536097030e-01,2.649617827659415947e-02
2.064476734693877399e+06,6.554076979818302950e-01,1.996616297402322229e-02
2.267692408163265325e+06,6.610561967505264036e-01,1.281719055677534372e-02
2.470908081632653251e+06,6.672023415822165848e-01,2.207039723886151938e-02
2.674123755102040712e+06,6.697944672778417541e-01,3.285306767079648749e-02
2.877339428571428638e+06,6.721502206435445714e-01,3.840384105079491794e-02
3.080555102040816098e+06,6.767119094266590418e-01,3.489417509491021113e-02
3.283770775510204025e+06,6.809012708732439245e-01,2.587936704897362758e-02
3.486986448979591951e+06,6.832116564562820127e-01,1.861237526862151090e-02
3.690202122448979411e+06,6.849371446722639645e-01,1.958480916447983070e-02
3.893417795918367337e+06,6.875473395390706566e-01,2.611107986599128794e-02
4.096633469387754798e+06,6.900101777820866200e-01,3.276562719005598340e-02
4.299849142857142724e+06,6.886509481426146273e-01,4.013985726762213380e-02
4.503064816326530650e+06,6.838598931647438262e-01,4.743880389705228129e-02
4.706280489795918576e+06,6.817409408258517933e-01,5.015064221143657186e-02
4.909496163265306503e+06,6.863626015422330529e-01,4.786981783435176330e-02
5.112711836734693497e+06,6.955808765925888260e-01,4.399445698154704626e-02
5.315927510204081424e+06,7.044707265212311054e-01,3.983723774299864628e-02
5.519143183673469350e+06,7.102781105713668053e-01,3.900704918380994146e-02
5.722358857142857276e+06,7.138840627332263544e-01,4.107555053218140545e-02
5.925574530612245202e+06,7.172708167643724320e-01,4.070055918540198964e-02
6.128790204081632197e+06,7.201152635158634130e-01,4.070527753395408732e-02
6.332005877551020123e+06,7.211746917678475421e-01,3.715656444421541749e-02
6.535221551020408049e+06,7.212804075183869568e-01,2.573970326804551206e-02
6.738437224489795975e+06,7.218175984613344198e-01,2.482021664612445513e-02
6.941652897959183902e+06,7.234450629618403017e-01,3.373898163903087111e-02
7.144868571428570896e+06,7.251291419133337746e-01,3.478114070155848697e-02
7.348084244897958823e+06,7.230851150646147030e-01,3.255199155078621759e-02
7.551299918367346749e+06,7.143965878867623021e-01,3.510096052443018033e-02
7.754515591836734675e+06,7.021183035576403775e-01,3.986750202724978487e-02
7.957731265306122601e+06,6.936694876212458061e-01,3.929395273918384612e-02
8.160946938775509596e+06,6.932625623184528463e-01,3.434473263013522459e-02
8.364162612244897522e+06,6.995420555794865658e-01,3.105715195007318838e-02
8.567378285714285448e+06,7.077811151160988690e-01,2.917301614425323389e-02
8.770593959183672443e+06,7.141485046489908228e-01,2.557318361409912852e-02
8.973809632653061301e+06,7.178515707595392037e-01,2.090650802124222052e-02
9.177025306122448295e+06,7.200044793896719364e-01,1.621427139265249270e-02
9.380240979591837153e+06,7.218638218031740994e-01,1.294736592119514855e-02
9.583456653061224148e+06,7.225929049245357616e-01,1.744265101841167842e-02
9.786672326530613005e+06,7.205805385362634707e-01,2.376371409230459975e-02
9.989888000000000000e+06,7.166490930068970533e-01,2.808175056771497480e-02
