x,y_mean,y_std
3.232000000000000000e+04,5.295102523780397252e-01,3.043904953138317632e-02
2.355356734693877515e+05,5.311704450677433575e-01,3.253636995804506243e-02
4.387513469387755031e+05,5.416407302188426254e-01,3.354162998123871170e-02
6.419670204081633128e+05,5.662790042076646380e-01,3.167112031968440794e-02
8.451826938775510062e+05,6.020633038795009107e-01,3.153620467111355186e-02
1.048398367346938699e+06,6.431367409597970042e-01,3.533390311852963039e-02
1.251614040816326626e+06,6.822964757793684720e-01,4.102474978513974413e-02
1.454829714285714319e+06,7.089928247529631022e-01,4.034782116568525617e-02
1.658045387755102012e+06,7.195545119956242575e-01,2.707619632503154364e-02
1.861261061224489706e+06,7.164697727451412312e-01,1.731790880032131608e-02
2.064476734693877399e+06,7.069997343678908752e-01,1.577500676057414994e-02
2.267692408163265325e+06,6.988212786489692574e-01,1.668011224539357740e-02
2.470908081632653251e+06,6.953051859743543117e-01,2.592194015752250641e-02
2.674123755102040712e+06,6.952627911870298272e-01,3.820721656515006781e-02
2.877339428571428638e+06,6.996924604486163268e-01,4.689921717963405762e-02
3.080555102040816098e+06,7.077107302455066806e-01,4.462872673062717038e-02
3.283770775510204025e+06,7.145290826088982472e-01,3.346226368543503416e-02
3.486986448979591951e+06,7.183495855545179998e-01,2.175531648607606158e-02
3.690202122448979411e+06,7.206688246522153785e-01,2.020560199107604774e-02
3.893417795918367337e+06,7.241440771286301592e-01,3.245036286746279947e-02
4.096633469387754798e+06,7.295745222970910770e-01,4.546070639160667420e-02
4.299849142857142724e+06,7.321908974482590482e-01,5.114538967398043340e-02
4.503064816326530650e+06,7.290690582394920849e-01,5.388532624326813902e-02
4.706280489795918576e+06,7.265128575517424414e-01,5.602033411641737376e-02
4.909496163265306503e+06,7.320071322834476035e-01,5.236415892221366053e-02
5.112711836734693497e+06,7.432086021094632677e-01,4.379964933426487572e-02
5.315927510204081424e+06,7.509614009001372992e-01,3.604266647160368070e-02
5.519143183673469350e+06,7.536007883212695324e-01,3.536167898733395126e-02
5.722358857142857276e+06,7.569577676210537120e-01,3.766242714706826561e-02
5.925574530612245202e+06,7.641793914738282956e-01,3.191631090379329350e-02
6.128790204081632197e+06,7.713943444061792665e-01,2.559804609524521032e-02
6.332005877551020123e+06,7.751629803860041745e-01,2.677853926252609165e-02
6.535221551020408049e+06,7.764555703786173435e-01,3.531725141012918151e-02
6.738437224489795975e+06,7.765808020170539283e-01,5.012184348489200081e-02
6.941652897959183902e+06,7.778879748871092570e-01,5.937814013987582906e-02
7.144868571428570896e+06,7.835125414794542609e-01,5.608568865036722001e-02
7.348084244897958823e+06,7.898554876562566829e-01,4.581640469445236175e-02
7.551299918367346749e+06,7.890952705436035108e-01,4.469947075784713036e-02
7.754515591836734675e+06,7.816770427496789742e-01,5.023663335907685434e-02
7.957731265306122601e+06,7.751073240606711767e-01,5.063469596016045848e-02
8.160946938775509596e+06,7.734957818191184886e-01,4.797807739665083809e-02
8.364162612244897522e+06,7.764325477611031534e-01,4.429105495462223180e-02
8.567378285714285448e+06,7.821308349293364381e-01,3.905167701076431297e-02
8.770593959183672443e+06,7.894475340736256674e-01,3.413864049392513478e-02
8.973809632653061301e+06,7.961436048173954338e-01,2.801507766994978943e-02
9.177025306122448295e+06,7.989070125323900484e-01,2.229273923209017585e-02
9.380240979591837153e+06,7.967560013188240697e-01,2.277160862496279553e-02
9.583456653061224148e+06,7.923009808328119741e-01,2.942968497335704536e-02
9.786672326530613005e+06,7.884621537681695269e-01,3.818248731077871633e-02
9.989888000000000000e+06,7.864784569783427326e-01,4.767126723300474378e-02
