x,y_mean,y_std
6.400000000000000000e+01,5.367270959742980185e-01,4.131359901478879465e-02
5.164734693877550853e+03,5.237958540022562559e-01,4.761564814273383517e-02
1.026546938775510171e+04,5.139075149172170898e-01,5.631280169143044328e-02
1.536620408163265165e+04,5.045199267291058387e-01,5.718631934511766990e-02
2.046693877551020341e+04,4.914442846089571715e-01,5.018169624250490291e-02
2.556767346938775518e+04,4.798994335997552874e-01,3.820691796712859245e-02
3.066840816326530330e+04,4.771945133558843644e-01,3.411167012890228833e-02
3.576914285714285506e+04,4.884728500140185226e-01,4.160727454126117442e-02
4.086987755102040683e+04,5.054871754994783029e-01,4.569974360956270687e-02
4.597061224489795859e+04,5.188069700146761276e-01,4.104041650168362837e-02
5.107134693877551035e+04,5.208394959430127091e-01,4.849275664247622991e-02
5.617208163265306212e+04,5.122142679798589171e-01,5.893315230118247733e-02
6.127281632653060660e+04,5.005783387530458040e-01,6.491657625479992089e-02
6.637355102040816564e+04,4.912113059131683057e-01,7.060088164743891226e-02
7.147428571428571013e+04,4.894288295560947910e-01,7.088571912597890767e-02
7.657502040816326917e+04,4.949508824422862441e-01,6.453987290889867667e-02
8.167575510204081365e+04,5.145726121743509074e-01,5.474025983382825589e-02
8.677648979591835814e+04,5.410094955913617998e-01,5.578687839512405655e-02
9.187722448979591718e+04,5.640282392371986919e-01,5.798011045974913596e-02
9.697795918367346167e+04,5.802583779850835066e-01,6.313996115615262694e-02
1.020786938775510207e+05,5.874859927969675599e-01,5.415197138431483703e-02
1.071794285714285652e+05,5.854020758429561155e-01,4.557354842586282956e-02
1.122801632653061242e+05,5.774020485006390313e-01,4.704021369263969993e-02
1.173808979591836687e+05,5.699916147824815038e-01,4.483082629092181165e-02
1.224816326530612132e+05,5.682407067865209438e-01,3.909659358839371462e-02
1.275823673469387722e+05,5.773188051706985569e-01,3.838675305583977293e-02
1.326831020408163313e+05,5.969719073563403144e-01,4.901644809002614345e-02
1.377838367346938758e+05,6.162645370176549342e-01,6.093923485163892095e-02
1.428845714285714203e+05,6.201576361735163800e-01,5.101333123564249367e-02
1.479853061224489647e+05,6.081786139992066964e-01,2.775914740007565801e-02
1.530860408163265383e+05,5.895712707046865120e-01,2.828937208134108677e-02
1.581867755102040828e+05,5.771505992933914087e-01,3.529995495875740824e-02
1.632875102040816273e+05,5.867723907609962986e-01,3.346736816282813720e-02
1.683882448979591718e+05,6.145097327406472409e-01,4.599176838845697030e-02
1.734889795918367163e+05,6.387330581321426504e-01,5.592655907107911550e-02
1.785897142857142899e+05,6.361039276798597930e-01,2.892939209017623969e-02
1.836904489795918344e+05,6.271936419915370431e-01,4.154077883058125698e-02
1.887911836734693788e+05,6.063290983001067280e-01,4.047194968625566353e-02
1.938919183673469233e+05,5.886804552725055650e-01,1.837442542368492027e-02
1.989926530612244969e+05,5.828718675638977498e-01,1.182924169864087507e-02
2.040933877551020414e+05,5.863777390286004643e-01,2.863541907242820109e-02
2.091941224489795859e+05,5.979557157334960404e-01,4.024127287692617211e-02
2.142948571428571304e+05,6.102422963933855637e-01,4.311189801114053560e-02
2.193955918367346749e+05,6.084847848548313731e-01,3.639795343884092566e-02
2.244963265306122485e+05,5.917776294199831311e-01,3.244047808911568187e-02
2.295970612244897929e+05,5.802753000803864136e-01,4.755659774805644918e-02
2.346977959183673374e+05,5.798363613845414211e-01,6.855161951092270112e-02
2.397985306122448819e+05,5.850388843626181945e-01,8.506009278130524653e-02
2.448992653061224264e+05,5.866852444299592850e-01,9.256282213549786586e-02
2.500000000000000000e+05,5.813653369276882144e-01,8.837278781650696746e-02
