x,y_mean,y_std
6.400000000000000000e+01,5.320148701365678967e-01,6.354745171714845653e-02
5.164734693877550853e+03,5.189238796118966768e-01,5.113885055008547675e-02
1.026546938775510171e+04,5.122535660729348184e-01,5.001045349088119318e-02
1.536620408163265165e+04,5.066902611788262067e-01,5.432353701769742499e-02
2.046693877551020341e+04,4.955579140237730273e-01,4.493185518810587781e-02
2.556767346938775518e+04,4.858984164677689899e-01,2.680418360031533789e-02
3.066840816326530330e+04,4.827650672440214619e-01,3.911081509696311825e-02
3.576914285714285506e+04,4.867616906355841100e-01,4.978344469983722598e-02
4.086987755102040683e+04,4.961802422200962681e-01,4.973092311570394969e-02
4.597061224489795859e+04,5.118896354773105895e-01,4.604904750777672612e-02
5.107134693877551035e+04,5.240672144880280658e-01,6.991803776033106432e-02
5.617208163265306212e+04,5.237492867769305560e-01,8.443872633072022071e-02
6.127281632653060660e+04,5.184988819020951434e-01,7.571750228224224943e-02
6.637355102040816564e+04,5.171288863331001684e-01,6.408613973746901671e-02
7.147428571428571013e+04,5.252641862541571616e-01,6.244951050331663811e-02
7.657502040816326917e+04,5.332348452610594647e-01,5.978112379035493279e-02
8.167575510204081365e+04,5.455247741130186956e-01,4.211364530007610102e-02
8.677648979591835814e+04,5.695814215949639436e-01,4.895918553981373766e-02
9.187722448979591718e+04,6.050040381927155320e-01,7.880290433775249959e-02
9.697795918367346167e+04,6.303917319485925486e-01,9.827579226388916123e-02
1.020786938775510207e+05,6.319872716721866013e-01,9.058125105180862835e-02
1.071794285714285652e+05,6.159653440442794947e-01,7.557199898305977381e-02
1.122801632653061242e+05,5.972731419875323411e-01,5.884592248044310386e-02
1.173808979591836687e+05,5.926173902070358546e-01,3.867056557116626408e-02
1.224816326530612132e+05,6.032631932834696675e-01,4.107343693748377600e-02
1.275823673469387722e+05,6.246928594349189234e-01,5.787255919243008279e-02
1.326831020408163313e+05,6.475806445819237700e-01,6.509722495139685927e-02
1.377838367346938758e+05,6.628077872477711185e-01,6.129897436638979263e-02
1.428845714285714203e+05,6.577993651534241870e-01,4.325289289079948390e-02
1.479853061224489647e+05,6.376094218460708341e-01,1.774525573715229898e-02
1.530860408163265383e+05,6.149260586557877550e-01,1.704166371414130368e-02
1.581867755102040828e+05,6.061257093760088477e-01,3.507511560939481632e-02
1.632875102040816273e+05,6.230444438822761999e-01,4.398430960869115919e-02
1.683882448979591718e+05,6.546241598306131726e-01,5.675471667534501968e-02
1.734889795918367163e+05,6.754871470527247235e-01,7.138689452412884384e-02
1.785897142857142899e+05,6.571966384179643850e-01,5.025057452123797563e-02
1.836904489795918344e+05,6.370156844385801431e-01,3.766856697243589625e-02
1.887911836734693788e+05,6.203597736298021026e-01,2.012271345017055055e-02
1.938919183673469233e+05,6.098951669515296770e-01,1.951098079842616267e-02
1.989926530612244969e+05,6.069258234139895958e-01,3.488474011836960320e-02
2.040933877551020414e+05,6.105669740165964310e-01,4.407048455206010601e-02
2.091941224489795859e+05,6.242629559237270476e-01,6.360615297340273255e-02
2.142948571428571304e+05,6.447663877704313817e-01,8.474472578151807933e-02
2.193955918367346749e+05,6.550789280840300099e-01,8.543334712404876408e-02
2.244963265306122485e+05,6.467088692261608873e-01,6.461343791648889445e-02
2.295970612244897929e+05,6.308190164703336711e-01,6.503924717964423841e-02
2.346977959183673374e+05,6.162725991527742142e-01,8.515683210217522836e-02
2.397985306122448819e+05,6.012942272094612406e-01,1.050115034079199955e-01
2.448992653061224264e+05,5.841512525588062887e-01,1.153461469128973793e-01
2.500000000000000000e+05,5.680799798431552805e-01,1.070797253474327498e-01
