x,y_mean,y_std
6.400000000000000000e+01,4.824151214047273095e-01,7.579175676509321280e-02
5.164734693877550853e+03,4.948758211455909217e-01,6.386657967096764921e-02
1.026546938775510171e+04,4.922583750389547541e-01,6.214788573306831432e-02
1.536620408163265165e+04,4.815691856931418324e-01,6.413141267940958290e-02
2.046693877551020341e+04,4.837906347632478510e-01,5.500142401486977917e-02
2.556767346938775518e+04,5.047628194748815522e-01,3.458960627935165483e-02
3.066840816326530330e+04,5.229558191682096568e-01,3.470170812629121831e-02
3.576914285714285506e+04,5.258624803762739219e-01,4.622782476095523008e-02
4.086987755102040683e+04,5.250748264981790481e-01,5.153704766001698800e-02
4.597061224489795859e+04,5.320652259680979101e-01,4.591568981724417770e-02
5.107134693877551035e+04,5.412270248091333169e-01,3.689445625226241143e-02
5.617208163265306212e+04,5.411304416397333394e-01,4.107193346773940767e-02
6.127281632653060660e+04,5.341469037118543595e-01,4.884880254060800647e-02
6.637355102040816564e+04,5.295652470506695408e-01,4.590852869450996049e-02
7.147428571428571013e+04,5.371204774046245412e-01,2.736070202872232376e-02
7.657502040816326917e+04,5.460663802336955808e-01,2.896349287285684623e-02
8.167575510204081365e+04,5.447594439003297095e-01,4.797067198859987502e-02
8.677648979591835814e+04,5.306554509362462202e-01,6.486563073537857105e-02
9.187722448979591718e+04,5.073678485275960881e-01,6.787143313922501531e-02
9.697795918367346167e+04,4.898530393698467544e-01,6.001554334547442443e-02
1.020786938775510207e+05,4.850486812635386724e-01,5.122915507850563099e-02
1.071794285714285652e+05,4.876568846138778501e-01,5.419906958429308863e-02
1.122801632653061242e+05,4.944109893779165543e-01,6.074455230933104022e-02
1.173808979591836687e+05,5.033416908028185421e-01,6.236489613764251844e-02
1.224816326530612132e+05,5.124747448324099564e-01,5.754403875454271178e-02
1.275823673469387722e+05,5.221015195966155487e-01,4.520935898571799838e-02
1.326831020408163313e+05,5.292490310595781011e-01,3.842585159258408989e-02
1.377838367346938758e+05,5.274873884761844822e-01,3.108798647606062990e-02
1.428845714285714203e+05,5.111298161661146366e-01,1.826563313721053794e-02
1.479853061224489647e+05,4.881082279130176671e-01,2.938011917772068854e-02
1.530860408163265383e+05,4.685249951151447823e-01,5.794105843637161607e-02
1.581867755102040828e+05,4.610839283641062769e-01,7.469299833515163911e-02
1.632875102040816273e+05,4.604439155515906990e-01,7.082509272946350964e-02
1.683882448979591718e+05,4.755156322090637877e-01,5.505679727815238761e-02
1.734889795918367163e+05,4.930589556397841910e-01,6.645491905962787327e-02
1.785897142857142899e+05,5.093105179104119307e-01,6.341338289623610347e-02
1.836904489795918344e+05,5.196486239743353108e-01,6.332914740549787369e-02
1.887911836734693788e+05,5.159239423704496952e-01,6.552361524551822414e-02
1.938919183673469233e+05,5.128143512859668629e-01,6.398949656452140866e-02
1.989926530612244969e+05,5.131458246283594482e-01,5.693945142868732379e-02
2.040933877551020414e+05,5.147740084951066830e-01,5.123278054321223074e-02
2.091941224489795859e+05,5.172209461945376230e-01,5.010005158706849065e-02
2.142948571428571304e+05,5.226411320856859666e-01,4.910838563698583653e-02
2.193955918367346749e+05,5.251661184250303593e-01,4.398826302917361458e-02
2.244963265306122485e+05,5.154428437825614440e-01,3.392976987509146308e-02
2.295970612244897929e+05,4.967960423775445444e-01,5.135175160142846362e-02
2.346977959183673374e+05,4.851657305840402223e-01,6.470907158482201715e-02
2.397985306122448819e+05,4.884523282056283944e-01,6.404023564874873620e-02
2.448992653061224264e+05,5.006437528782090585e-01,6.359908968024809151e-02
2.500000000000000000e+05,5.163149493687061442e-01,6.435966839413323481e-02
