x,y_mean,y_std
6.400000000000000000e+01,4.706535415989280269e-01,6.124175831843374496e-02
5.164734693877550853e+03,4.858345704211033400e-01,6.053122225795034422e-02
1.026546938775510171e+04,4.831775180045604356e-01,6.575175450338519023e-02
1.536620408163265165e+04,4.714538077444999642e-01,7.079265819553784422e-02
2.046693877551020341e+04,4.759611960141619247e-01,6.135105940774232547e-02
2.556767346938775518e+04,5.025584186791471897e-01,3.638400274333384449e-02
3.066840816326530330e+04,5.241792338416531027e-01,3.491769190826066183e-02
3.576914285714285506e+04,5.240157483460141652e-01,5.296060615293301382e-02
4.086987755102040683e+04,5.177800639437114549e-01,6.556007305463455725e-02
4.597061224489795859e+04,5.221148106986495119e-01,6.402493821960263121e-02
5.107134693877551035e+04,5.317019309150546880e-01,5.583802943419039627e-02
5.617208163265306212e+04,5.354839397213693175e-01,5.196519789196316075e-02
6.127281632653060660e+04,5.383722220039006690e-01,4.251291680016840158e-02
6.637355102040816564e+04,5.460629576352685755e-01,2.678693264470765820e-02
7.147428571428571013e+04,5.613036950773537814e-01,2.866660844286167409e-02
7.657502040816326917e+04,5.717026534567111185e-01,5.107261752472617294e-02
8.167575510204081365e+04,5.628552558264867667e-01,6.625944930469079841e-02
8.677648979591835814e+04,5.386556952746250904e-01,7.720602949940925941e-02
9.187722448979591718e+04,5.090711951302002714e-01,7.655321525592984067e-02
9.697795918367346167e+04,4.908412256641718763e-01,6.911232642909731494e-02
1.020786938775510207e+05,4.902351742740111429e-01,6.812988823156458651e-02
1.071794285714285652e+05,4.980163212097372671e-01,7.805534797730429020e-02
1.122801632653061242e+05,5.095972575622649270e-01,8.580782864230913909e-02
1.173808979591836687e+05,5.213616873594023593e-01,8.550194548099336600e-02
1.224816326530612132e+05,5.304286627207714933e-01,8.127529040301666174e-02
1.275823673469387722e+05,5.383225188400525552e-01,7.358317970558200805e-02
1.326831020408163313e+05,5.459826721670907324e-01,6.907358417349895863e-02
1.377838367346938758e+05,5.456564612937879755e-01,6.125685433690174903e-02
1.428845714285714203e+05,5.288733542474680638e-01,4.423253678209938117e-02
1.479853061224489647e+05,5.037638928753880307e-01,3.686301557909366783e-02
1.530860408163265383e+05,4.815164706820748153e-01,5.752777904464360936e-02
1.581867755102040828e+05,4.722094831066338538e-01,7.514643388801428570e-02
1.632875102040816273e+05,4.710655221125383818e-01,7.452471228608265053e-02
1.683882448979591718e+05,4.847230085336365346e-01,6.930281763994651512e-02
1.734889795918367163e+05,4.996411520939433859e-01,9.217229936490936582e-02
1.785897142857142899e+05,5.118500533968119992e-01,9.195121657495684830e-02
1.836904489795918344e+05,5.207914108227369443e-01,9.018740659338755905e-02
1.887911836734693788e+05,5.259163430175237686e-01,8.646930782523112868e-02
1.938919183673469233e+05,5.312200018667742052e-01,7.621379972225526822e-02
1.989926530612244969e+05,5.363871191691101936e-01,6.050669884411326999e-02
2.040933877551020414e+05,5.402390040881082101e-01,4.874962405643463309e-02
2.091941224489795859e+05,5.420403693337143558e-01,4.655736341486649277e-02
2.142948571428571304e+05,5.389447111775226285e-01,5.062774111042635944e-02
2.193955918367346749e+05,5.261436424111460841e-01,5.321073563028302922e-02
2.244963265306122485e+05,4.988563725129019910e-01,3.959907861031413540e-02
2.295970612244897929e+05,4.733479564281959928e-01,4.256464077412503572e-02
2.346977959183673374e+05,4.696958613762228230e-01,5.303323187895148810e-02
2.397985306122448819e+05,4.914665556603290963e-01,6.403117501204418083e-02
2.448992653061224264e+05,5.196572575737831157e-01,7.886278719313626062e-02
2.500000000000000000e+05,5.409391638618579190e-01,8.206728655047673682e-02
