x,y_mean,y_std
6.400000000000000000e+01,5.034369512589681461e-01,3.328340549340329940e-02
2.047077551020408282e+04,5.158445885516775853e-01,2.371316806461069501e-02
4.087755102040816564e+04,5.314177931287275003e-01,1.765745056185654902e-02
6.128432653061224846e+04,5.478591952114141295e-01,1.769085882902888748e-02
8.169110204081633128e+04,5.647947069532476272e-01,2.063885296753872542e-02
1.020978775510204141e+05,5.813395487763927116e-01,1.825692050681654299e-02
1.225046530612244969e+05,5.927802529151320332e-01,1.379427197399475495e-02
1.429114285714285797e+05,5.971772733403921674e-01,1.722788444957529252e-02
1.633182040816326626e+05,5.997729267881551918e-01,2.775708933628992514e-02
1.837249795918367454e+05,6.022837341959803581e-01,3.260719353761160760e-02
2.041317551020408282e+05,6.013037506999820980e-01,2.977133667698589684e-02
2.245385306122449110e+05,5.981141037507387015e-01,2.883524251119029894e-02
2.449453061224489938e+05,5.978552548106212949e-01,3.412351036869201715e-02
2.653520816326530767e+05,6.017246492830252702e-01,3.609369026914368422e-02
2.857588571428571595e+05,6.075897016045294086e-01,2.987889366947727929e-02
3.061656326530612423e+05,6.152912018792923154e-01,1.902819596700180971e-02
3.265724081632653251e+05,6.235762342967813288e-01,1.215090683357347712e-02
3.469791836734694079e+05,6.288775622979028146e-01,1.098340828019016627e-02
3.673859591836734908e+05,6.309345549910028161e-01,1.264066695516023915e-02
3.877927346938775736e+05,6.312250404206810606e-01,1.670395830795828526e-02
4.081995102040816564e+05,6.293420999701355711e-01,2.150247101589095738e-02
4.286062857142857392e+05,6.254864988417340177e-01,2.595393730244551986e-02
4.490130612244898221e+05,6.231788838701034505e-01,2.837905710055554573e-02
4.694198367346939049e+05,6.253834128608004583e-01,2.948528021807795066e-02
4.898266122448979877e+05,6.300278668534955440e-01,2.952275328551102335e-02
5.102333877551020705e+05,6.337587166951275108e-01,2.792380790288098366e-02
5.306401632653061533e+05,6.370976352896111639e-01,2.639382261580232314e-02
5.510469387755102944e+05,6.405184716191990590e-01,2.492368222579919093e-02
5.714537142857143190e+05,6.411703473433630895e-01,2.469102156082700339e-02
5.918604897959183436e+05,6.379162728738387855e-01,2.491793530661826073e-02
6.122672653061224846e+05,6.353084532693278330e-01,2.190234889549777519e-02
6.326740408163266256e+05,6.361543129326909796e-01,1.577321741111283038e-02
6.530808163265306503e+05,6.377989913254025200e-01,9.402121634134169917e-03
6.734875918367346749e+05,6.379448891625596474e-01,6.317631453219058404e-03
6.938943673469388159e+05,6.367808109905782610e-01,8.630773846748382785e-03
7.143011428571429569e+05,6.350626687954379346e-01,8.581892128543584450e-03
7.347079183673469815e+05,6.331388623607172583e-01,6.280683677597735312e-03
7.551146938775510062e+05,6.310191366204572772e-01,6.868738043970198243e-03
7.755214693877551472e+05,6.290176989958704556e-01,8.134977763536384993e-03
7.959282448979592882e+05,6.284470779736930357e-01,1.163413374585950573e-02
8.163350204081633128e+05,6.297218501852407391e-01,1.306860333420486846e-02
8.367417959183673374e+05,6.313040380736802959e-01,2.109984002943481388e-02
8.571485714285714785e+05,6.309895688777624745e-01,2.865348245260282076e-02
8.775553469387756195e+05,6.287382297571715295e-01,2.118528826587818062e-02
8.979621224489796441e+05,6.279835052520608141e-01,8.221305761050167263e-03
9.183688979591836687e+05,6.312675324248446795e-01,8.313636424521667068e-03
9.387756734693878097e+05,6.373817653547572126e-01,8.417234693279063498e-03
9.591824489795919508e+05,6.434429088987108081e-01,6.018525174576219196e-03
9.795892244897959754e+05,6.477823902147921142e-01,9.270123678407094295e-03
9.999960000000000000e+05,6.507325460339482559e-01,1.372581697339248646e-02
