x,y_mean,y_std
6.400000000000000000e+01,5.693117297623854212e-01,5.443297536179464435e-02
5.164734693877550853e+03,5.569521468001423781e-01,3.096510342794164469e-02
1.026546938775510171e+04,5.453438726756947297e-01,3.179149108109396993e-02
1.536620408163265165e+04,5.412727553869256525e-01,4.347388131361955982e-02
2.046693877551020341e+04,5.533717156233439738e-01,5.474278644013851058e-02
2.556767346938775518e+04,5.791189243361360983e-01,7.033900999379669172e-02
3.066840816326530330e+04,6.055701383634656265e-01,8.559136052541960193e-02
3.576914285714285506e+04,6.283511321639376757e-01,9.473848692457466358e-02
4.086987755102040683e+04,6.456490186127923359e-01,1.015194471099970103e-01
4.597061224489795859e+04,6.514918848359148029e-01,1.051498069034419447e-01
5.107134693877551035e+04,6.540746340953683680e-01,1.073234964619590864e-01
5.617208163265306212e+04,6.701343777295752924e-01,1.018161189049440335e-01
6.127281632653060660e+04,6.966192442678552643e-01,8.784296129505692052e-02
6.637355102040816564e+04,7.197591893849498712e-01,7.849659476242651368e-02
7.147428571428571013e+04,7.291513673731370160e-01,7.157656754750785222e-02
7.657502040816326917e+04,7.400287988486338175e-01,5.674184697848966286e-02
8.167575510204081365e+04,7.593674062080051357e-01,2.862694599779859114e-02
8.677648979591835814e+04,7.795155665236993547e-01,3.089119175354571034e-02
9.187722448979591718e+04,7.892330238302822654e-01,4.589030261069858979e-02
9.697795918367346167e+04,7.924408830808332693e-01,4.877754311684317362e-02
1.020786938775510207e+05,7.927978254700978056e-01,4.373567306688390388e-02
1.071794285714285652e+05,7.953480052170075476e-01,4.418178023570609042e-02
1.122801632653061242e+05,8.022952973843437974e-01,4.699919271473478738e-02
1.173808979591836687e+05,8.084893657142320222e-01,4.246849324368014156e-02
1.224816326530612132e+05,8.067218932411547305e-01,3.482308682593769633e-02
1.275823673469387722e+05,7.941482604366523201e-01,3.132095499696659763e-02
1.326831020408163313e+05,7.766871137463824404e-01,3.730707066540277228e-02
1.377838367346938758e+05,7.640689874191177733e-01,4.661397252508953787e-02
1.428845714285714203e+05,7.656808789282288918e-01,4.783510916157895920e-02
1.479853061224489647e+05,7.748872578616274875e-01,4.514455103699153982e-02
1.530860408163265383e+05,7.842257395064626824e-01,4.344618941449397004e-02
1.581867755102040828e+05,7.903092007568631727e-01,4.328363305867630878e-02
1.632875102040816273e+05,7.981306979356768139e-01,3.629906496766058255e-02
1.683882448979591718e+05,8.102967485895519184e-01,3.153358025666471581e-02
1.734889795918367163e+05,8.237605171025936812e-01,3.766297563505554419e-02
1.785897142857142899e+05,8.336719381243307136e-01,2.041748981513813455e-02
1.836904489795918344e+05,8.408270862363789178e-01,1.849555059031294385e-02
1.887911836734693788e+05,8.418194255386742819e-01,2.025470925997309088e-02
1.938919183673469233e+05,8.420664145677146939e-01,2.267307485145070300e-02
1.989926530612244969e+05,8.398052448108929147e-01,2.872442759812684002e-02
2.040933877551020414e+05,8.334164248925709506e-01,3.431378400740803941e-02
2.091941224489795859e+05,8.259817143805209261e-01,3.589413848687687814e-02
2.142948571428571304e+05,8.244615827478527503e-01,3.442972110089503185e-02
2.193955918367346749e+05,8.287107355630505268e-01,4.231343467539327996e-02
2.244963265306122485e+05,8.360691810676899038e-01,5.306024484620484177e-02
2.295970612244897929e+05,8.418103965023725488e-01,5.186318808030127708e-02
2.346977959183673374e+05,8.434768091088372666e-01,4.302612214856327971e-02
2.397985306122448819e+05,8.410630785070891680e-01,3.137154198585508091e-02
2.448992653061224264e+05,8.400685880019391760e-01,2.367645442222890417e-02
2.500000000000000000e+05,8.436418727251071559e-01,2.081100750745814784e-02
