x,y_mean,y_std
6.400000000000000000e+01,5.988428166071864123e-01,8.950132395360636817e-02
5.164734693877550853e+03,5.941066396480811918e-01,8.243871081705805848e-02
1.026546938775510171e+04,5.883247906447002240e-01,7.391171749888854337e-02
1.536620408163265165e+04,5.854290286741447025e-01,6.788105189023432851e-02
2.046693877551020341e+04,5.931357745884964228e-01,7.145718062029339512e-02
2.556767346938775518e+04,6.137970480483816438e-01,8.824562593082077577e-02
3.066840816326530330e+04,6.404085034138878862e-01,1.120043162412886900e-01
3.576914285714285506e+04,6.731651684017594395e-01,1.245417661596732728e-01
4.086987755102040683e+04,7.040150322331932831e-01,1.333414261124145905e-01
4.597061224489795859e+04,7.182138664298841624e-01,1.342336495120798889e-01
5.107134693877551035e+04,7.209923694714450715e-01,1.276163981268841896e-01
5.617208163265306212e+04,7.388362545182501906e-01,1.188965191391983256e-01
6.127281632653060660e+04,7.788125002986181489e-01,1.051560646702062729e-01
6.637355102040816564e+04,8.230027964563465526e-01,8.890451979527715098e-02
7.147428571428571013e+04,8.567548450537101346e-01,6.741153712316490243e-02
7.657502040816326917e+04,8.840393394985470721e-01,4.717454164037417075e-02
8.167575510204081365e+04,8.998330000724870104e-01,3.586372707208673738e-02
8.677648979591835814e+04,9.083119212013593957e-01,5.093209513057277843e-02
9.187722448979591718e+04,9.157393731818324056e-01,5.868993429942953588e-02
9.697795918367346167e+04,9.233205781861754113e-01,5.915742261678000324e-02
1.020786938775510207e+05,9.266358898380625542e-01,5.977954161346996087e-02
1.071794285714285652e+05,9.288560733731709984e-01,6.097784659789535350e-02
1.122801632653061242e+05,9.357371458854905066e-01,5.286901120054118136e-02
1.173808979591836687e+05,9.467564686314886568e-01,3.436678640721037986e-02
1.224816326530612132e+05,9.535758667818470258e-01,2.554122661286581386e-02
1.275823673469387722e+05,9.498394925670796685e-01,2.757345675490045084e-02
1.326831020408163313e+05,9.361949659511304977e-01,3.321660116665028223e-02
1.377838367346938758e+05,9.203369683180468996e-01,3.997126890916591346e-02
1.428845714285714203e+05,9.133194195578789865e-01,4.380115087341768243e-02
1.479853061224489647e+05,9.168107418749625870e-01,4.608004189495768649e-02
1.530860408163265383e+05,9.259782819768977991e-01,4.588615952331971670e-02
1.581867755102040828e+05,9.386394154997187433e-01,4.074727532088387449e-02
1.632875102040816273e+05,9.509108343410208608e-01,3.011928310798559633e-02
1.683882448979591718e+05,9.571171055786795723e-01,2.203398112551695903e-02
1.734889795918367163e+05,9.579704880761521490e-01,2.432563349091737895e-02
1.785897142857142899e+05,9.494399102792214773e-01,2.045336024138072126e-02
1.836904489795918344e+05,9.428281113400241997e-01,1.980678574412296153e-02
1.887911836734693788e+05,9.436562332601757808e-01,1.915611922984771995e-02
1.938919183673469233e+05,9.472893064446094025e-01,2.250470109696928178e-02
1.989926530612244969e+05,9.491640967214515223e-01,2.681715859599549667e-02
2.040933877551020414e+05,9.472110004650829973e-01,2.891188408928611203e-02
2.091941224489795859e+05,9.433378181999261258e-01,2.771668892579234877e-02
2.142948571428571304e+05,9.436768447116901104e-01,2.254466536804036053e-02
2.193955918367346749e+05,9.490904442484169312e-01,2.894531811619241446e-02
2.244963265306122485e+05,9.556682515165828562e-01,4.087375145224041162e-02
2.295970612244897929e+05,9.567434387758020353e-01,3.852229248585794380e-02
2.346977959183673374e+05,9.522601542139661479e-01,2.642573502957623263e-02
2.397985306122448819e+05,9.456019277351552788e-01,1.765429908013512253e-02
2.448992653061224264e+05,9.428434559792611136e-01,2.170279001493167700e-02
2.500000000000000000e+05,9.466086951355773271e-01,2.435683501317925659e-02
