x,y_mean,y_std
6.400000000000000000e+01,5.197872388238724550e-01,1.650307114372255926e-02
5.158448979591837087e+03,5.191068013319861674e-01,2.378333080140857675e-02
1.025289795918367417e+04,5.152275754706497901e-01,3.480419426979918657e-02
1.534734693877551035e+04,5.095337411738202205e-01,4.045128402325869066e-02
2.044179591836734835e+04,5.052093757970318455e-01,3.863580724307458247e-02
2.553624489795918635e+04,5.026082056829535016e-01,3.534880973875528798e-02
3.063069387755102071e+04,4.976000999836996397e-01,3.255387974214821872e-02
3.572514285714286234e+04,4.904032506536323832e-01,3.019505805901925855e-02
4.081959183673469670e+04,4.874410447185308359e-01,2.756827794233860165e-02
4.591404081632653106e+04,4.899280204446386233e-01,2.148063220000815537e-02
5.100848979591837269e+04,4.926710682423747767e-01,1.762626453665387671e-02
5.610293877551020705e+04,4.926907001013088316e-01,1.551531806997736955e-02
6.119738775510204141e+04,4.925511325025862530e-01,8.642024501323584962e-03
6.629183673469387577e+04,4.941689249569061748e-01,5.903582299114068684e-03
7.138628571428572468e+04,4.970164834337068571e-01,7.335396647623644052e-03
7.648073469387755904e+04,5.005379842752486486e-01,6.997577308591075920e-03
8.157518367346939340e+04,5.047195794743281061e-01,9.872012094611623545e-03
8.666963265306122776e+04,5.092164309228008889e-01,1.697694943939261070e-02
9.176408163265306212e+04,5.123383298540212794e-01,2.410255278817381372e-02
9.685853061224491103e+04,5.134415426708995867e-01,2.427577687505799373e-02
1.019529795918367454e+05,5.133993237308189794e-01,2.273789749753416661e-02
1.070474285714285797e+05,5.135187960704501453e-01,2.484168727043170599e-02
1.121418775510204141e+05,5.171329373242978811e-01,3.027434041885424670e-02
1.172363265306122485e+05,5.263082723185654732e-01,3.585602248510082191e-02
1.223307755102040828e+05,5.351243170099657664e-01,3.670163519058745188e-02
1.274252244897959317e+05,5.407402069469808836e-01,3.379669921776362607e-02
1.325196734693877515e+05,5.450258811879458154e-01,3.294742215669744373e-02
1.376141224489796150e+05,5.458783251417120841e-01,3.318975698878222358e-02
1.427085714285714494e+05,5.414449174863695813e-01,3.060070354714117952e-02
1.478030204081632837e+05,5.355704375457822630e-01,2.966784794785462184e-02
1.528974693877551181e+05,5.329376387206585797e-01,3.292627586955317737e-02
1.579919183673469524e+05,5.358034809788810859e-01,4.188127383749149640e-02
1.630863673469387868e+05,5.452831830540031399e-01,5.514636099504464928e-02
1.681808163265306212e+05,5.579665916267394499e-01,6.433845485753827975e-02
1.732752653061224555e+05,5.674165277537288610e-01,6.513329746833125544e-02
1.783697142857142899e+05,5.714259312075024022e-01,6.284147433294279272e-02
1.834641632653061242e+05,5.709524105253059867e-01,6.177946821432702545e-02
1.885586122448979586e+05,5.687506872278225156e-01,6.189948365123620205e-02
1.936530612244898221e+05,5.686138684017574274e-01,5.949970761173519612e-02
1.987475102040816564e+05,5.703521153057549142e-01,5.091128618873541622e-02
2.038419591836734908e+05,5.711845159422148654e-01,4.131212140372125113e-02
2.089364081632653251e+05,5.717132546850972608e-01,4.545844780453985046e-02
2.140308571428571595e+05,5.755113473330053520e-01,5.871559516237246507e-02
2.191253061224489938e+05,5.855205528589232378e-01,6.608664871052211121e-02
2.242197551020408282e+05,5.989643034414218192e-01,6.394062370138947626e-02
2.293142040816326626e+05,6.076882529280189793e-01,5.461391663454872453e-02
2.344086530612244969e+05,6.086600197658860179e-01,4.159166416722694798e-02
2.395031020408163313e+05,6.063393655661102333e-01,3.139684048240053149e-02
2.445975510204081656e+05,6.047489179109215574e-01,2.887087335728073106e-02
2.496920000000000000e+05,6.034464202288165602e-01,2.908793725307505171e-02
