x,y_mean,y_std
6.400000000000000000e+01,5.206844933176613122e-01,1.705816407977107929e-02
5.158448979591837087e+03,5.206481710318854317e-01,2.336974866771013293e-02
1.025289795918367417e+04,5.158767047696064534e-01,3.422398981492769804e-02
1.534734693877551035e+04,5.081993527223954699e-01,4.102472936853489988e-02
2.044179591836734835e+04,5.022315931747562967e-01,4.076264606633075993e-02
2.553624489795918635e+04,4.997589951501703043e-01,3.734915940419733515e-02
3.063069387755102071e+04,4.959656269422002550e-01,3.238181474495247653e-02
3.572514285714286234e+04,4.880688418346220692e-01,2.705935540314827192e-02
4.081959183673469670e+04,4.820981287064206033e-01,2.663456898103102113e-02
4.591404081632653106e+04,4.823951406000233644e-01,3.239166862340929487e-02
5.100848979591837269e+04,4.871736923238206285e-01,3.495088227401645792e-02
5.610293877551020705e+04,4.931799315624937341e-01,2.682766105573206744e-02
6.119738775510204141e+04,4.972697074608581902e-01,1.578343487293787026e-02
6.629183673469387577e+04,4.979041050975805405e-01,2.313398463200251609e-02
7.138628571428572468e+04,4.980386290500483648e-01,2.569467257648337666e-02
7.648073469387755904e+04,5.021847014690528077e-01,2.371709535054586371e-02
8.157518367346939340e+04,5.107731896937092175e-01,3.586685320906309732e-02
8.666963265306122776e+04,5.168919887872982510e-01,4.380258637145606482e-02
9.176408163265306212e+04,5.148267792601154413e-01,4.583868127163159834e-02
9.685853061224491103e+04,5.093762002173346515e-01,4.621802358875692907e-02
1.019529795918367454e+05,5.061679176006124159e-01,4.562486695276922466e-02
1.070474285714285797e+05,5.062937678861368918e-01,4.636155306967813805e-02
1.121418775510204141e+05,5.114672619039807300e-01,4.615881984355301587e-02
1.172363265306122485e+05,5.222604077094156194e-01,4.419495527641031929e-02
1.223307755102040828e+05,5.311834083500268644e-01,4.407288896784988114e-02
1.274252244897959317e+05,5.344896666578878852e-01,4.299550792480064804e-02
1.325196734693877515e+05,5.365648850884172649e-01,3.992772511172369698e-02
1.376141224489796150e+05,5.401483991463281731e-01,3.879696252766753201e-02
1.427085714285714494e+05,5.442682584683808944e-01,4.353306267316606193e-02
1.478030204081632837e+05,5.484647610155711783e-01,5.042288929040647516e-02
1.528974693877551181e+05,5.553633050028713436e-01,5.513849916740627688e-02
1.579919183673469524e+05,5.678672556816359851e-01,6.581883585470378606e-02
1.630863673469387868e+05,5.853426896031870275e-01,8.249555306448481951e-02
1.681808163265306212e+05,6.020781235468881665e-01,9.141415707822139747e-02
1.732752653061224555e+05,6.126206530120644755e-01,8.560544915698398150e-02
1.783697142857142899e+05,6.161044179628067941e-01,7.463964489776005184e-02
1.834641632653061242e+05,6.148246823228300517e-01,7.144182460029659121e-02
1.885586122448979586e+05,6.115402847554606280e-01,7.982335504451809616e-02
1.936530612244898221e+05,6.051432777996403889e-01,9.026637509977900042e-02
1.987475102040816564e+05,5.949246931392704330e-01,9.008717858343844032e-02
2.038419591836734908e+05,5.873315662934839310e-01,8.274023793668988658e-02
2.089364081632653251e+05,5.866198663404589286e-01,8.629095289378170552e-02
2.140308571428571595e+05,5.918630748272928344e-01,9.592584061548195540e-02
2.191253061224489938e+05,6.044231561523499829e-01,9.677742715539103258e-02
2.242197551020408282e+05,6.232876583229473022e-01,8.540050316677366693e-02
2.293142040816326626e+05,6.416519692507591799e-01,6.803340699507368083e-02
2.344086530612244969e+05,6.548264297781893895e-01,5.290045267998571416e-02
2.395031020408163313e+05,6.626938780522807493e-01,4.672491766593001722e-02
2.445975510204081656e+05,6.653789094716181518e-01,4.997017137976336731e-02
2.496920000000000000e+05,6.629815179800495617e-01,5.511866978588638583e-02
