x,y_mean,y_std
6.400000000000000000e+01,5.860385781870316446e-01,5.456487177088723689e-02
2.042653061224489647e+04,6.083725590635513658e-01,6.408904667321738136e-02
4.078906122448979295e+04,6.417300090951177927e-01,6.930230207645067531e-02
6.115159183673468942e+04,6.856589611753770575e-01,6.372237462565877308e-02
8.151412244897958590e+04,7.329861965423767334e-01,4.837737461536588401e-02
1.018766530612244824e+05,7.686448263759089183e-01,3.542733719355586203e-02
1.222391836734693788e+05,7.853262970579115709e-01,3.099196945467065992e-02
1.426017142857142608e+05,7.942444418175496068e-01,2.645296212622580412e-02
1.629642448979591718e+05,8.069238222496568635e-01,1.555109399573055377e-02
1.833267755102040828e+05,8.216491948520318056e-01,9.010418586432495519e-03
2.036893061224489647e+05,8.312230297422497083e-01,1.678849947753940919e-02
2.240518367346938467e+05,8.356660998393227180e-01,2.038559197141539062e-02
2.444143673469387577e+05,8.382013401861014845e-01,1.743767610935945123e-02
2.647768979591836687e+05,8.403994010306631290e-01,1.077443604185228387e-02
2.851394285714285215e+05,8.422194249898218299e-01,7.892694626372350267e-03
3.055019591836734326e+05,8.431788930614079192e-01,1.200965012286676382e-02
3.258644897959183436e+05,8.439405737101610683e-01,1.569021805920755089e-02
3.462270204081632546e+05,8.460231748923447981e-01,1.455516105324352986e-02
3.665895510204081656e+05,8.489955600176053441e-01,1.222299808909025828e-02
3.869520816326530185e+05,8.503057915189244920e-01,1.519492901516456516e-02
4.073146122448979295e+05,8.491261709839224014e-01,2.161169544866119868e-02
4.276771428571428405e+05,8.476886301976140903e-01,2.722204200483532149e-02
4.480396734693876933e+05,8.486924007860018326e-01,2.843885459102607483e-02
4.684022040816326044e+05,8.522588999431190970e-01,2.300012633895615402e-02
4.887647346938775154e+05,8.559650055993983653e-01,1.218998195818563057e-02
5.091272653061224264e+05,8.577460801787305522e-01,6.010801526554868796e-03
5.294897959183673374e+05,8.580032077284733827e-01,1.242020973710925187e-02
5.498523265306121903e+05,8.573728454091040785e-01,1.803161453548917520e-02
5.702148571428570431e+05,8.566555131216583296e-01,1.736835890152754053e-02
5.905773877551020123e+05,8.567029746072174490e-01,9.527445197819213105e-03
6.109399183673468651e+05,8.571647179901287217e-01,6.951644130005946859e-03
6.313024489795918344e+05,8.590129859591881800e-01,8.947496346244945137e-03
6.516649795918366872e+05,8.627516550111991034e-01,1.069915984230687678e-02
6.720275102040815400e+05,8.661756819325923118e-01,1.525906594592595263e-02
6.923900408163265092e+05,8.678476853582466344e-01,1.681426113705223116e-02
7.127525714285713620e+05,8.693080767273784204e-01,1.475906349705995158e-02
7.331151020408163313e+05,8.719121312989838168e-01,1.261639330563395743e-02
7.534776326530611841e+05,8.738694688757713269e-01,1.156024622172770189e-02
7.738401632653060369e+05,8.736043089937988171e-01,1.105105004916004212e-02
7.942026938775510062e+05,8.724363365653295954e-01,9.660309805875736539e-03
8.145652244897958590e+05,8.714793843854877764e-01,8.215114531770231071e-03
8.349277551020407118e+05,8.706144828407070824e-01,9.630226268995978681e-03
8.552902857142856810e+05,8.700570253068505844e-01,1.226769759586327641e-02
8.756528163265305338e+05,8.688349221740455652e-01,1.446090663772966675e-02
8.960153469387753867e+05,8.652954652239188693e-01,1.592756322034382874e-02
9.163778775510203559e+05,8.613654130603766168e-01,1.754520956141875088e-02
9.367404081632652087e+05,8.618333612501540841e-01,1.875533624908097552e-02
9.571029387755101779e+05,8.673725088825117169e-01,1.764186267406454151e-02
9.774654693877550308e+05,8.739737546062663620e-01,1.499886870052709494e-02
9.978280000000000000e+05,8.791259171320768839e-01,1.323553565913900172e-02
