x,y_mean,y_std
6.400000000000000000e+01,4.978859933538414273e-01,2.491402617054093785e-02
2.047077551020408282e+04,5.006501162146874684e-01,2.146797665915687464e-02
4.087755102040816564e+04,5.006725995420404640e-01,1.886950417702852947e-02
6.128432653061224846e+04,4.967985847944909605e-01,1.781357084779750660e-02
8.169110204081633128e+04,4.910278850748556745e-01,1.787753741334042676e-02
1.020978775510204141e+05,4.870296391512471956e-01,1.795450973967641084e-02
1.225046530612244969e+05,4.888536053450730501e-01,1.980198743609650619e-02
1.429114285714285797e+05,4.981910289494845268e-01,2.368421762205551520e-02
1.633182040816326626e+05,5.126436958654695397e-01,2.793913667441968660e-02
1.837249795918367454e+05,5.284880951142674199e-01,3.010863169542427401e-02
2.041317551020408282e+05,5.418722079414682868e-01,3.150856033687185476e-02
2.245385306122449110e+05,5.522192032354727997e-01,3.554243405435003611e-02
2.449453061224489938e+05,5.633262097515998601e-01,4.040397092018979674e-02
2.653520816326530767e+05,5.790215667841428493e-01,4.406816398552644565e-02
2.857588571428571595e+05,5.977295115154147576e-01,5.033230194712037114e-02
3.061656326530612423e+05,6.132298859748915865e-01,6.250715149856761466e-02
3.265724081632653251e+05,6.244387103400625971e-01,7.326530665854058544e-02
3.469791836734694079e+05,6.343138975416977576e-01,8.072882279592297206e-02
3.673859591836734908e+05,6.431566352515224461e-01,8.710321541533032341e-02
3.877927346938775736e+05,6.495591425744418057e-01,9.184043992270231327e-02
4.081995102040816564e+05,6.537135383569578906e-01,9.667030358603483087e-02
4.286062857142857392e+05,6.587227772853913033e-01,1.035063163690724680e-01
4.490130612244898221e+05,6.688558339350724191e-01,1.108997104146679652e-01
4.694198367346939049e+05,6.846997076361618362e-01,1.147746507043812120e-01
4.898266122448979877e+05,7.003372004831854847e-01,1.142004922673443418e-01
5.102333877551020705e+05,7.084262198331671145e-01,1.141852115878965873e-01
5.306401632653061533e+05,7.092039186660308303e-01,1.179871128152409493e-01
5.510469387755102944e+05,7.091614624425417457e-01,1.212550521875307707e-01
5.714537142857143190e+05,7.130509730481345843e-01,1.208961851109176672e-01
5.918604897959183436e+05,7.206388964350519677e-01,1.185468841531606976e-01
6.122672653061224846e+05,7.273512127197023780e-01,1.173164508552336505e-01
6.326740408163266256e+05,7.296843685455123296e-01,1.178480090088814547e-01
6.530808163265306503e+05,7.288595459288949030e-01,1.188410529086492695e-01
6.734875918367346749e+05,7.280913399801522967e-01,1.187175779992047514e-01
6.938943673469388159e+05,7.285306202156490718e-01,1.165436296968830610e-01
7.143011428571429569e+05,7.287959470988518706e-01,1.130773740152646173e-01
7.347079183673469815e+05,7.275239173909390233e-01,1.096359753366257100e-01
7.551146938775510062e+05,7.252974714485931340e-01,1.069588606909078338e-01
7.755214693877551472e+05,7.241971269289358970e-01,1.049307124614725778e-01
7.959282448979592882e+05,7.244799978926222961e-01,1.041095655912482598e-01
8.163350204081633128e+05,7.249184139115378844e-01,1.056260911513510620e-01
8.367417959183673374e+05,7.264609342268425474e-01,1.080825635271149832e-01
8.571485714285714785e+05,7.300650536405498547e-01,1.090232212848614574e-01
8.775553469387756195e+05,7.333589488447456173e-01,1.090623757339234390e-01
8.979621224489796441e+05,7.348455232086612554e-01,1.094653210240976587e-01
9.183688979591836687e+05,7.348140895799181171e-01,1.102644726560626232e-01
9.387756734693878097e+05,7.328888773417840952e-01,1.121878819336531996e-01
9.591824489795919508e+05,7.293999283359485775e-01,1.149257110616373756e-01
9.795892244897959754e+05,7.256628823070622181e-01,1.170406671689830091e-01
9.999960000000000000e+05,7.222690985154481824e-01,1.182304899151825073e-01
