x,y_mean,y_std
6.400000000000000000e+01,4.957295511378330133e-01,2.055802090904060644e-02
2.047077551020408282e+04,5.045525689241627809e-01,2.442837346430578108e-02
4.087755102040816564e+04,5.142777242181332253e-01,2.528710924233263865e-02
6.128432653061224846e+04,5.200197000194098917e-01,2.069395120115136849e-02
8.169110204081633128e+04,5.197930643474346635e-01,1.508575692058213187e-02
1.020978775510204141e+05,5.162749814846064877e-01,1.928783143279905882e-02
1.225046530612244969e+05,5.158011977503360601e-01,3.241046261210723395e-02
1.429114285714285797e+05,5.242578297639909346e-01,4.943386998770041979e-02
1.633182040816326626e+05,5.402788295000242602e-01,6.197649048370380137e-02
1.837249795918367454e+05,5.568101931030728924e-01,6.534112405309348837e-02
2.041317551020408282e+05,5.675549105407169392e-01,6.255110690202136947e-02
2.245385306122449110e+05,5.720418424133985047e-01,5.939023524725381420e-02
2.449453061224489938e+05,5.753258620805361545e-01,6.075728587505802025e-02
2.653520816326530767e+05,5.825919182195880008e-01,6.750730881829421215e-02
2.857588571428571595e+05,5.942320527000521935e-01,7.528883371126131319e-02
3.061656326530612423e+05,6.061102759105856386e-01,7.838661847659299242e-02
3.265724081632653251e+05,6.153750616895259373e-01,7.566663268847247104e-02
3.469791836734694079e+05,6.199471007874828299e-01,6.853350957781448316e-02
3.673859591836734908e+05,6.174831000275039505e-01,5.884924070444952360e-02
3.877927346938775736e+05,6.120766467325913229e-01,5.234555009856018543e-02
4.081995102040816564e+05,6.141439908378826251e-01,5.194938959844554865e-02
4.286062857142857392e+05,6.259907873958165947e-01,5.669917041291679810e-02
4.490130612244898221e+05,6.403207093276145345e-01,6.504764341420452012e-02
4.694198367346939049e+05,6.502008629328273059e-01,7.454385843885476259e-02
4.898266122448979877e+05,6.554554455986574268e-01,8.231650099391454867e-02
5.102333877551020705e+05,6.621409322407566522e-01,8.047964497129753147e-02
5.306401632653061533e+05,6.735306559283451566e-01,6.946996380494493972e-02
5.510469387755102944e+05,6.857906123753381156e-01,5.841773700403898179e-02
5.714537142857143190e+05,6.930691680088590934e-01,5.383659173047079805e-02
5.918604897959183436e+05,6.894298007305609266e-01,6.739135635488249787e-02
6.122672653061224846e+05,6.757273209001224412e-01,9.036710212859849767e-02
6.326740408163266256e+05,6.637653427466594369e-01,1.000831093274480027e-01
6.530808163265306503e+05,6.599449142696532933e-01,9.884700396243316367e-02
6.734875918367346749e+05,6.583813313871507145e-01,9.933751697742339293e-02
6.938943673469388159e+05,6.528690095884525091e-01,1.053602224352423872e-01
7.143011428571429569e+05,6.426381002536881715e-01,1.157797102626084984e-01
7.347079183673469815e+05,6.282887921145052790e-01,1.250510175082029107e-01
7.551146938775510062e+05,6.135753849453449149e-01,1.252507828949135649e-01
7.755214693877551472e+05,6.027376351907640650e-01,1.176345907749450914e-01
7.959282448979592882e+05,5.936280479967206425e-01,1.140552174061773422e-01
8.163350204081633128e+05,5.835694858851931954e-01,1.147500790734700127e-01
8.367417959183673374e+05,5.782514695483087497e-01,1.107828445747463808e-01
8.571485714285714785e+05,5.833517629788360637e-01,1.042328062962193103e-01
8.775553469387756195e+05,5.896462598071041672e-01,1.029659009936057940e-01
8.979621224489796441e+05,5.860332429875347859e-01,1.080142106345762798e-01
9.183688979591836687e+05,5.765678338002657721e-01,1.159926607786648523e-01
9.387756734693878097e+05,5.698415292657011966e-01,1.253116261431193867e-01
9.591824489795919508e+05,5.673390062371396203e-01,1.330347131728157051e-01
9.795892244897959754e+05,5.666415528284238778e-01,1.350087720546838677e-01
9.999960000000000000e+05,5.664660946638043759e-01,1.318874971565763554e-01
