x,y_mean,y_std
6.400000000000000000e+01,5.149892361641909000e-01,4.398538873628126539e-02
2.047077551020408282e+04,5.121707052970270180e-01,5.390777413057055989e-02
4.087755102040816564e+04,5.107775980234989799e-01,6.001931880553329490e-02
6.128432653061224846e+04,5.119115183543424541e-01,5.714824940938971476e-02
8.169110204081633128e+04,5.152573948238228230e-01,5.253019454872872446e-02
1.020978775510204141e+05,5.181108645541281366e-01,5.209169147140142037e-02
1.225046530612244969e+05,5.200655716155467845e-01,5.831207055085724927e-02
1.429114285714285797e+05,5.275635844169784816e-01,7.295822394395634625e-02
1.633182040816326626e+05,5.433461159287525932e-01,9.207172335786331652e-02
1.837249795918367454e+05,5.622705705752555350e-01,1.085215496113721839e-01
2.041317551020408282e+05,5.816262221898331752e-01,1.175528760893019969e-01
2.245385306122449110e+05,6.021215733125782066e-01,1.216374683106247467e-01
2.449453061224489938e+05,6.215437499103220187e-01,1.247449684262474240e-01
2.653520816326530767e+05,6.370847672969862652e-01,1.284624167101995063e-01
2.857588571428571595e+05,6.496607520025975413e-01,1.339755418343245297e-01
3.061656326530612423e+05,6.589122655767372105e-01,1.396305888198462741e-01
3.265724081632653251e+05,6.602162875277338694e-01,1.423082755627415319e-01
3.469791836734694079e+05,6.529412604406782394e-01,1.363603367497546737e-01
3.673859591836734908e+05,6.473309847963171215e-01,1.199647611609146597e-01
3.877927346938775736e+05,6.562533961095166068e-01,1.055639603041518271e-01
4.081995102040816564e+05,6.818855811022278557e-01,1.002923337788401842e-01
4.286062857142857392e+05,7.139997736802596862e-01,9.767377527125467584e-02
4.490130612244898221e+05,7.400140441151783488e-01,9.973466955384753529e-02
4.694198367346939049e+05,7.536914277835434772e-01,1.088726255960695832e-01
4.898266122448979877e+05,7.586267486626339096e-01,1.181964189460103370e-01
5.102333877551020705e+05,7.673727713323093003e-01,1.160915278979252341e-01
5.306401632653061533e+05,7.860202396640053601e-01,1.013806185111194857e-01
5.510469387755102944e+05,8.068206073747907769e-01,8.612900645757835816e-02
5.714537142857143190e+05,8.181985184810424139e-01,7.854537750936524398e-02
5.918604897959183436e+05,8.109543006110545571e-01,9.780641077301917286e-02
6.122672653061224846e+05,7.898168116497114033e-01,1.366762955303972293e-01
6.326740408163266256e+05,7.725374304392225167e-01,1.604107670834815647e-01
6.530808163265306503e+05,7.652617347502317369e-01,1.634172118297827769e-01
6.734875918367346749e+05,7.583188072166939797e-01,1.604086069122321601e-01
6.938943673469388159e+05,7.424201889592356718e-01,1.656488166360269021e-01
7.143011428571429569e+05,7.179306408376986415e-01,1.826089182694277668e-01
7.347079183673469815e+05,6.887116843727085769e-01,1.979400595639008165e-01
7.551146938775510062e+05,6.602528856641920463e-01,1.973478193188248908e-01
7.755214693877551472e+05,6.392035021904389769e-01,1.830112498901911022e-01
7.959282448979592882e+05,6.266591690388800817e-01,1.723145798233267356e-01
8.163350204081633128e+05,6.166238271407474825e-01,1.737059243058982627e-01
8.367417959183673374e+05,6.061980693106097107e-01,1.768093428279512158e-01
8.571485714285714785e+05,6.022219032228546265e-01,1.742015152851408288e-01
8.775553469387756195e+05,6.059216589929617980e-01,1.668875200142968529e-01
8.979621224489796441e+05,6.067971817925635891e-01,1.612389681233850902e-01
9.183688979591836687e+05,6.013785814390693041e-01,1.622387434031421771e-01
9.387756734693878097e+05,5.955410589243574915e-01,1.701527391929374133e-01
9.591824489795919508e+05,5.934501390367492579e-01,1.794537689558496629e-01
9.795892244897959754e+05,5.947677524053683884e-01,1.836916532790464351e-01
9.999960000000000000e+05,5.974937021167329165e-01,1.823247575448160296e-01
