x,y_mean,y_std
6.400000000000000000e+01,4.795578646113871635e-01,7.088289497627096869e-02
5.164734693877550853e+03,4.977958990914977955e-01,5.151653942542830378e-02
1.026546938775510171e+04,5.079556144502220816e-01,4.615822144996630655e-02
1.536620408163265165e+04,5.130074713241223883e-01,5.398156426642811839e-02
2.046693877551020341e+04,5.309125582447287162e-01,6.060095594283089471e-02
2.556767346938775518e+04,5.557674256869730156e-01,6.547954820759678551e-02
3.066840816326530330e+04,5.833243695036778309e-01,6.075360496649933467e-02
3.576914285714285506e+04,6.130977738919561881e-01,5.487906631377202638e-02
4.086987755102040683e+04,6.412514794779623495e-01,5.206044668526808167e-02
4.597061224489795859e+04,6.552124815395413693e-01,4.320242124081634383e-02
5.107134693877551035e+04,6.601531903544264335e-01,3.685540639744426528e-02
5.617208163265306212e+04,6.587664845290011062e-01,3.757710149399208499e-02
6.127281632653060660e+04,6.551291865665469505e-01,4.148952314390781659e-02
6.637355102040816564e+04,6.542114936626998167e-01,4.753254264103293214e-02
7.147428571428571013e+04,6.585532579263119191e-01,4.775991922447371529e-02
7.657502040816326917e+04,6.667160240687295403e-01,4.370932039666533542e-02
8.167575510204081365e+04,6.752816348579553374e-01,4.024708901428718927e-02
8.677648979591835814e+04,6.792420738940057046e-01,3.500788955373046463e-02
9.187722448979591718e+04,6.761560905844093972e-01,2.958612174147142587e-02
9.697795918367346167e+04,6.692636210065858737e-01,3.166081513825405591e-02
1.020786938775510207e+05,6.625955813563914054e-01,4.127598003810889482e-02
1.071794285714285652e+05,6.584398317637653042e-01,5.621567293621965861e-02
1.122801632653061242e+05,6.609894445408580621e-01,6.728232468361179663e-02
1.173808979591836687e+05,6.693757780843335725e-01,7.295405075949669416e-02
1.224816326530612132e+05,6.834913088281353577e-01,6.961030712465238190e-02
1.275823673469387722e+05,6.952103621651499754e-01,5.467744441947680611e-02
1.326831020408163313e+05,7.030936465309782779e-01,3.663874612998864466e-02
1.377838367346938758e+05,7.077693453597218021e-01,2.662330549657915268e-02
1.428845714285714203e+05,7.117932341136008478e-01,3.274936950388138146e-02
1.479853061224489647e+05,7.133846609980996067e-01,4.510486809073305237e-02
1.530860408163265383e+05,7.098279995133353060e-01,5.168461809125531048e-02
1.581867755102040828e+05,7.018688679180593581e-01,4.843478386629010424e-02
1.632875102040816273e+05,6.966954155012480276e-01,3.429734047365824712e-02
1.683882448979591718e+05,6.983470668378639612e-01,2.503512967524181357e-02
1.734889795918367163e+05,7.053002159429959672e-01,2.932582617948082185e-02
1.785897142857142899e+05,7.102463545437721626e-01,3.848695978209034502e-02
1.836904489795918344e+05,7.089917346573100243e-01,5.189891448450005551e-02
1.887911836734693788e+05,7.044762390236041227e-01,5.626718754165583453e-02
1.938919183673469233e+05,7.016261575735370792e-01,4.531505375747632569e-02
1.989926530612244969e+05,6.987908468055273881e-01,2.770005192504199076e-02
2.040933877551020414e+05,6.889718609190490506e-01,2.867172468279356040e-02
2.091941224489795859e+05,6.721516300865185700e-01,4.858230972549272553e-02
2.142948571428571304e+05,6.589628635319163541e-01,6.253325045594973486e-02
2.193955918367346749e+05,6.594287673116404624e-01,6.245591235860951940e-02
2.244963265306122485e+05,6.705211212770790796e-01,5.069835099104132853e-02
2.295970612244897929e+05,6.831596077495261099e-01,3.970067042129297313e-02
2.346977959183673374e+05,6.944777116502486303e-01,3.767069857962965229e-02
2.397985306122448819e+05,7.052008911118331502e-01,4.128648785398900123e-02
2.448992653061224264e+05,7.113541281795499049e-01,4.263602094897666478e-02
2.500000000000000000e+05,7.097041881583210365e-01,4.028006122026206448e-02
