x,y_mean,y_std
6.400000000000000000e+01,5.116869642970967025e-01,1.566925076009193230e-01
5.164734693877550853e+03,5.348807311479615301e-01,1.519042003648668482e-01
1.026546938775510171e+04,5.420799036515976388e-01,1.428541807517570705e-01
1.536620408163265165e+04,5.353201249428579667e-01,1.082610725319454598e-01
2.046693877551020341e+04,5.576714565411341473e-01,5.961046927043161386e-02
2.556767346938775518e+04,6.028262584398198509e-01,8.721736928621952323e-02
3.066840816326530330e+04,6.922564158056262462e-01,1.096337099310930735e-01
3.576914285714285506e+04,7.903074448166653720e-01,1.030091469287137962e-01
4.086987755102040683e+04,8.796054509263966370e-01,9.859270336003712887e-02
4.597061224489795859e+04,9.224485880158554973e-01,7.281579680506028440e-02
5.107134693877551035e+04,9.426214913366181003e-01,4.403403849546157905e-02
5.617208163265306212e+04,9.480639817470377650e-01,2.777593621465493032e-02
6.127281632653060660e+04,9.468524723033209245e-01,2.526486718940630649e-02
6.637355102040816564e+04,9.474063899686392398e-01,2.364871548357906639e-02
7.147428571428571013e+04,9.514196377916366298e-01,1.425956475441246540e-02
7.657502040816326917e+04,9.544443844249279607e-01,9.617597082494102126e-03
8.167575510204081365e+04,9.560900591904266665e-01,2.089496914350616463e-02
8.677648979591835814e+04,9.576734570767524435e-01,2.453633465946890302e-02
9.187722448979591718e+04,9.571422841215770916e-01,2.045083366234952751e-02
9.697795918367346167e+04,9.531494379447016385e-01,1.406029617335190565e-02
1.020786938775510207e+05,9.481258808108966596e-01,2.199058461214215346e-02
1.071794285714285652e+05,9.453842882604611697e-01,3.194595960914144855e-02
1.122801632653061242e+05,9.466112743851649025e-01,3.351429023592840395e-02
1.173808979591836687e+05,9.498992527886377379e-01,3.509132889784151443e-02
1.224816326530612132e+05,9.537778524550672987e-01,3.580368858346963390e-02
1.275823673469387722e+05,9.574492907042257972e-01,3.337007279359214401e-02
1.326831020408163313e+05,9.615099052401353541e-01,2.864207788220981404e-02
1.377838367346938758e+05,9.656815054595160319e-01,2.513803529421997779e-02
1.428845714285714203e+05,9.689474412024369210e-01,2.266052076722446448e-02
1.479853061224489647e+05,9.709716136662145392e-01,1.739917999716808147e-02
1.530860408163265383e+05,9.698759057420958118e-01,1.976942694701110115e-02
1.581867755102040828e+05,9.646766169604064078e-01,3.362790384560706419e-02
1.632875102040816273e+05,9.587716699686309463e-01,4.326921113022239723e-02
1.683882448979591718e+05,9.557853992719348435e-01,4.642584898435630353e-02
1.734889795918367163e+05,9.574145184425757460e-01,4.264658121802995111e-02
1.785897142857142899e+05,9.614501470407395001e-01,3.506101354404769083e-02
1.836904489795918344e+05,9.648332500004146439e-01,2.719454796595108248e-02
1.887911836734693788e+05,9.644116317704707342e-01,2.069551292020781891e-02
1.938919183673469233e+05,9.599959541363546345e-01,1.929887766237494903e-02
1.989926530612244969e+05,9.548659925975808704e-01,1.970655825200988420e-02
2.040933877551020414e+05,9.518108902545181493e-01,2.228634447836061808e-02
2.091941224489795859e+05,9.523588011590213842e-01,2.964578268711433665e-02
2.142948571428571304e+05,9.560265792665756379e-01,3.392878590693587659e-02
2.193955918367346749e+05,9.613859532670157027e-01,3.099073084509059578e-02
2.244963265306122485e+05,9.656891342372689868e-01,2.286677766775807238e-02
2.295970612244897929e+05,9.692174169558031016e-01,1.296687669339201786e-02
2.346977959183673374e+05,9.731194760372000596e-01,1.022218978497248243e-02
2.397985306122448819e+05,9.764632889447482089e-01,1.945722448078606240e-02
2.448992653061224264e+05,9.777557456771723832e-01,2.930532628599064743e-02
2.500000000000000000e+05,9.761574054987482985e-01,3.503424138743151117e-02
