x,y_mean,y_std
1.280000000000000000e+02,1.978728210714631786e+00,1.459225411613548351e+00
2.051559183673469306e+04,2.140143281774335104e+00,1.474619845829691744e+00
4.090318367346938612e+04,2.312643242481212891e+00,1.508915826119988646e+00
6.129077551020408282e+04,2.484797218361200599e+00,1.583817651423088391e+00
8.167836734693877224e+04,2.648090929880849043e+00,1.700517043001898543e+00
1.020659591836734617e+05,2.802659436266521364e+00,1.826769324043669540e+00
1.224535510204081656e+05,2.961521758708479002e+00,1.908519402989386604e+00
1.428411428571428405e+05,3.149079932436502194e+00,1.897026153113209990e+00
1.632287346938775445e+05,3.392269223347313734e+00,1.773284276415528327e+00
1.836163265306122485e+05,3.707532219320981426e+00,1.560074159468471056e+00
2.040039183673469233e+05,4.090313886971710389e+00,1.317025907284551822e+00
2.243915102040816273e+05,4.511434970541676748e+00,1.117176547112502139e+00
2.447791020408163313e+05,4.922113697820843292e+00,1.008063547678970551e+00
2.651666938775510062e+05,5.266406871178189064e+00,9.848913379545581881e-01
2.855542857142856810e+05,5.499196341748661787e+00,1.005533432782311554e+00
3.059418775510204141e+05,5.605653796677303902e+00,1.023188637593616557e+00
3.263294693877550890e+05,5.612551360688707192e+00,1.013309118773024542e+00
3.467170612244897638e+05,5.583124263388649311e+00,9.925424784101785081e-01
3.671046530612244969e+05,5.593090388626245080e+00,1.007540355202488414e+00
3.874922448979591718e+05,5.698209893826319039e+00,1.087938062116285742e+00
4.078798367346938467e+05,5.910241536664342377e+00,1.224279300873884146e+00
4.282674285714285797e+05,6.195205681409154508e+00,1.395012782210553581e+00
4.486550204081632546e+05,6.494403768784882125e+00,1.577575100005713882e+00
4.690426122448979295e+05,6.757276571579344804e+00,1.738192835194541486e+00
4.894302040816326626e+05,6.967952930583614091e+00,1.838378543300632773e+00
5.098177959183673374e+05,7.150010376282371460e+00,1.853922371319309592e+00
5.302053877551020123e+05,7.345789469235986857e+00,1.784226353040981872e+00
5.505929795918366872e+05,7.581770350698583627e+00,1.649094405440571842e+00
5.709805714285713620e+05,7.843240046247589525e+00,1.484903643574948306e+00
5.913681632653061533e+05,8.077808989580379517e+00,1.339744418491078726e+00
6.117557551020408282e+05,8.228497330480722738e+00,1.259202458977712435e+00
6.321433469387755031e+05,8.275416887982238734e+00,1.274428333137013425e+00
6.525309387755101779e+05,8.255876646466598245e+00,1.398670006348623929e+00
6.729185306122448528e+05,8.248380932630013262e+00,1.609195147803687886e+00
6.933061224489795277e+05,8.329804676627039939e+00,1.842413326345295088e+00
7.136937142857142026e+05,8.534148596480074289e+00,2.024654116879188503e+00
7.340813061224489938e+05,8.838168894979279600e+00,2.100686276477409464e+00
7.544688979591836687e+05,9.177990593067608671e+00,2.041591987955929000e+00
7.748564897959183436e+05,9.482229170935458029e+00,1.846088134577342554e+00
7.952440816326530185e+05,9.700204589021783619e+00,1.544076294502104707e+00
8.156316734693876933e+05,9.813492317714850088e+00,1.194104174494395654e+00
8.360192653061223682e+05,9.830913158741449109e+00,8.609534549363202505e-01
8.564068571428571595e+05,9.776356843089182291e+00,5.835688931473579366e-01
8.767944489795918344e+05,9.677008183479056669e+00,3.964114922496174698e-01
8.971820408163265092e+05,9.556959050389888688e+00,4.502972741400154688e-01
9.175696326530611841e+05,9.434975983209394457e+00,7.564769533784559963e-01
9.379572244897958590e+05,9.324376957518536457e+00,1.150797855183685714e+00
9.583448163265305338e+05,9.233121016572964024e+00,1.550145465679302559e+00
9.787324081632653251e+05,9.164108258002954699e+00,1.915987005121899456e+00
9.991200000000000000e+05,9.116037805135739802e+00,2.234089180215389270e+00
