x,y_mean,y_std
1.280000000000000000e+02,1.531447791908592482e+00,1.794189561928441812e+00
2.051559183673469306e+04,1.525134391288274660e+00,1.764505145711157352e+00
4.090318367346938612e+04,1.501221607378681044e+00,1.714848759003250178e+00
6.129077551020408282e+04,1.446802108345770277e+00,1.657676142111694562e+00
8.167836734693877224e+04,1.351670870442881700e+00,1.605406040883898378e+00
1.020659591836734617e+05,1.213093797613119751e+00,1.561216202590458790e+00
1.224535510204081656e+05,1.039922573368100123e+00,1.512301263230276138e+00
1.428411428571428405e+05,8.528920702797405662e-01,1.432294957469713692e+00
1.632287346938775445e+05,6.800571417568072041e-01,1.295583869963425672e+00
1.836163265306122485e+05,5.485878851229131214e-01,1.100555413260784876e+00
2.040039183673469233e+05,4.754369600239044535e-01,8.935526245412523938e-01
2.243915102040816273e+05,4.587691795174276832e-01,7.750499465245600517e-01
2.447791020408163313e+05,4.736969853952821552e-01,8.241951456593358261e-01
2.651666938775510062e+05,4.768441723638739416e-01,1.006331571205264508e+00
2.855542857142856810e+05,4.236736140173467113e-01,1.276584821736179043e+00
3.059418775510204141e+05,2.941512686176441238e-01,1.636655936007131995e+00
3.263294693877550890e+05,1.125900178146125308e-01,2.071908068568486527e+00
3.467170612244897638e+05,-5.333682650523104141e-02,2.516712610228494462e+00
3.671046530612244969e+05,-1.191056045414196074e-01,2.881949264945778300e+00
3.874922448979591718e+05,-2.267200829965763248e-02,3.102576233800719230e+00
4.078798367346938467e+05,2.439790288439185884e-01,3.169328262344471625e+00
4.282674285714285797e+05,6.287144088216375382e-01,3.126874106151382282e+00
4.486550204081632546e+05,1.040294254761797932e+00,3.042383830370321007e+00
4.690426122448979295e+05,1.387069454638732990e+00,2.966235788000378903e+00
4.894302040816326626e+05,1.614642896556170104e+00,2.913973694228902733e+00
5.098177959183673374e+05,1.723431301971415364e+00,2.877099484897369219e+00
5.302053877551020123e+05,1.757181038555586827e+00,2.849564630879517946e+00
5.505929795918366872e+05,1.768889184643700263e+00,2.850219896303941347e+00
5.709805714285713620e+05,1.787405938713594988e+00,2.917670130522081795e+00
5.913681632653061533e+05,1.807401247644895292e+00,3.068050399690448238e+00
6.117557551020408282e+05,1.807739073419569964e+00,3.263532658624542115e+00
6.321433469387755031e+05,1.780861460448772249e+00,3.440174306345554989e+00
6.525309387755101779e+05,1.748116620025187418e+00,3.556720449292756658e+00
6.729185306122448528e+05,1.749759928992645985e+00,3.609201889628526505e+00
6.933061224489795277e+05,1.819729440594466396e+00,3.615257419636545233e+00
7.136937142857142026e+05,1.965769015856103863e+00,3.598979747612136570e+00
7.340813061224489938e+05,2.168795229310964690e+00,3.580007992475362055e+00
7.544688979591836687e+05,2.397595466547487231e+00,3.560011694515718084e+00
7.748564897959183436e+05,2.625691741901770904e+00,3.523307158146104623e+00
7.952440816326530185e+05,2.839135465041870532e+00,3.465953910314270026e+00
8.156316734693876933e+05,3.033901809226939417e+00,3.418874761791825367e+00
8.360192653061223682e+05,3.208054202003678856e+00,3.424393862169039959e+00
8.564068571428571595e+05,3.354771594180795180e+00,3.491799781376694334e+00
8.767944489795918344e+05,3.459821340218225849e+00,3.593572737530549510e+00
8.971820408163265092e+05,3.505310004958313463e+00,3.698974428673161174e+00
9.175696326530611841e+05,3.477484820959339196e+00,3.793654799281586332e+00
9.379572244897958590e+05,3.373915835604578639e+00,3.874626467335467339e+00
9.583448163265305338e+05,3.204901422831928581e+00,3.941650762368911654e+00
9.787324081632653251e+05,2.989120670643789168e+00,3.995482136052146416e+00
9.991200000000000000e+05,2.747171830855221764e+00,4.039205294409263125e+00
