x,y_mean,y_std
6.400000000000000000e+01,5.071653134878690850e-01,3.569419879235258275e-02
2.047077551020408282e+04,5.141632849139671224e-01,3.344034506122007394e-02
4.087755102040816564e+04,5.201606951058470596e-01,3.027069476574846540e-02
6.128432653061224846e+04,5.237170979802940884e-01,2.814199162322823106e-02
8.169110204081633128e+04,5.236461920832663486e-01,2.733173390845760470e-02
1.020978775510204141e+05,5.195228311071080629e-01,2.929925281882260826e-02
1.225046530612244969e+05,5.140610342846650971e-01,3.426524354288264934e-02
1.429114285714285797e+05,5.108192604244556900e-01,3.903642716487090714e-02
1.633182040816326626e+05,5.096708219355905456e-01,4.212458532673501316e-02
1.837249795918367454e+05,5.104262110470683123e-01,4.274980765841088215e-02
2.041317551020408282e+05,5.146867011021554195e-01,4.855791688865915279e-02
2.245385306122449110e+05,5.234453836487701350e-01,6.247566050737326376e-02
2.449453061224489938e+05,5.355226672638032648e-01,7.719021103949895435e-02
2.653520816326530767e+05,5.470805060493955096e-01,9.061616085680815336e-02
2.857588571428571595e+05,5.552249591665472384e-01,9.880502904972456035e-02
3.061656326530612423e+05,5.625475647950421987e-01,9.591317178123044684e-02
3.265724081632653251e+05,5.716802382466765753e-01,8.547598681417721556e-02
3.469791836734694079e+05,5.775866472095210202e-01,7.811255305638108160e-02
3.673859591836734908e+05,5.731692802578571833e-01,7.914609065311295488e-02
3.877927346938775736e+05,5.632820220434230363e-01,8.620884737582407142e-02
4.081995102040816564e+05,5.633442649613770170e-01,9.580319155386768371e-02
4.286062857142857392e+05,5.772366840941586252e-01,1.122671595828896307e-01
4.490130612244898221e+05,5.949715171076859210e-01,1.377811391109095562e-01
4.694198367346939049e+05,6.103711876241937340e-01,1.601776378939712420e-01
4.898266122448979877e+05,6.300857720866466227e-01,1.719005924204851932e-01
5.102333877551020705e+05,6.578367975889436448e-01,1.731216377032490372e-01
5.306401632653061533e+05,6.816562129639287537e-01,1.699035438370624373e-01
5.510469387755102944e+05,6.904278385322980549e-01,1.702693573600881638e-01
5.714537142857143190e+05,6.881887359166659612e-01,1.748680006870615977e-01
5.918604897959183436e+05,6.885382489976239473e-01,1.787596862097477479e-01
6.122672653061224846e+05,6.971232779563070192e-01,1.795740758790609626e-01
6.326740408163266256e+05,7.056259136104631180e-01,1.799972622827548940e-01
6.530808163265306503e+05,7.080323097476379779e-01,1.806603511871125722e-01
6.734875918367346749e+05,7.073982154995348548e-01,1.794226989650301585e-01
6.938943673469388159e+05,7.096031326503536851e-01,1.747101193277278974e-01
7.143011428571429569e+05,7.164545948576038770e-01,1.651685851601500110e-01
7.347079183673469815e+05,7.259602516957401885e-01,1.517757882007435832e-01
7.551146938775510062e+05,7.355568093663650275e-01,1.393162831898146214e-01
7.755214693877551472e+05,7.442853935397206744e-01,1.312343310345981118e-01
7.959282448979592882e+05,7.521139497731905710e-01,1.273972786097389287e-01
8.163350204081633128e+05,7.576104337624484097e-01,1.270934035438439913e-01
8.367417959183673374e+05,7.598895374023028060e-01,1.301702680986605576e-01
8.571485714285714785e+05,7.623366872425432206e-01,1.350317456541579586e-01
8.775553469387756195e+05,7.698988653876245314e-01,1.399789992548895468e-01
8.979621224489796441e+05,7.820510986862423408e-01,1.463529026627473084e-01
9.183688979591836687e+05,7.930263433790188943e-01,1.549826875865942255e-01
9.387756734693878097e+05,7.995580782200969461e-01,1.634976676326884426e-01
9.591824489795919508e+05,8.042258742365808732e-01,1.663694379087876096e-01
9.795892244897959754e+05,8.097499106358577725e-01,1.603690781976186974e-01
9.999960000000000000e+05,8.153959834090901415e-01,1.489396409914314212e-01
