x,y_mean,y_std
6.400000000000000000e+01,4.867644932052274664e-01,4.396303794005024246e-02
2.047077551020408282e+04,5.218114174508442504e-01,3.017382151417426564e-02
4.087755102040816564e+04,5.686941640849993984e-01,1.758869226169461689e-02
6.128432653061224846e+04,6.191671259586538634e-01,9.909020694078812808e-03
8.169110204081633128e+04,6.597758640271528252e-01,1.105718586813557967e-02
1.020978775510204141e+05,6.814400126374559052e-01,1.597513517566484520e-02
1.225046530612244969e+05,6.843126855034540323e-01,2.798752151876179525e-02
1.429114285714285797e+05,6.794739781945542401e-01,3.862584485744863932e-02
1.633182040816326626e+05,6.810545228688328345e-01,4.176476552057321184e-02
1.837249795918367454e+05,6.903494379214358823e-01,3.867634778015278940e-02
2.041317551020408282e+05,6.982455060916310519e-01,3.326574253769513240e-02
2.245385306122449110e+05,7.021573579153905786e-01,3.037148770224264507e-02
2.449453061224489938e+05,7.074102048292539857e-01,2.690680762694471623e-02
2.653520816326530767e+05,7.141215637364239921e-01,1.807572643828848913e-02
2.857588571428571595e+05,7.170792542168124006e-01,2.126483051623038675e-02
3.061656326530612423e+05,7.167013329292497570e-01,3.676909766934590568e-02
3.265724081632653251e+05,7.170081130634217148e-01,3.596227298152807061e-02
3.469791836734694079e+05,7.166511342712992283e-01,1.947104035316840967e-02
3.673859591836734908e+05,7.138071906636099806e-01,7.235965821176316634e-03
3.877927346938775736e+05,7.117702557510617867e-01,1.061353574501125788e-02
4.081995102040816564e+05,7.132854924336982094e-01,1.477826877716526509e-02
4.286062857142857392e+05,7.171617127693415972e-01,2.094175658409510102e-02
4.490130612244898221e+05,7.211666037914920002e-01,2.765759084745789825e-02
4.694198367346939049e+05,7.220215951956541200e-01,3.256553761931556962e-02
4.898266122448979877e+05,7.196155384374642860e-01,3.044429584539817477e-02
5.102333877551020705e+05,7.199899345990086186e-01,1.992990803864623864e-02
5.306401632653061533e+05,7.256528713854357715e-01,1.114442216783409489e-02
5.510469387755102944e+05,7.330547544928315284e-01,8.420318571673348837e-03
5.714537142857143190e+05,7.403197878050133962e-01,1.552585333547815485e-02
5.918604897959183436e+05,7.477242865813366057e-01,3.233506415918071392e-02
6.122672653061224846e+05,7.516549039414571753e-01,4.142959233143035658e-02
6.326740408163266256e+05,7.458700127690269799e-01,4.184626767507314965e-02
6.530808163265306503e+05,7.312329323119255431e-01,3.933958487258056719e-02
6.734875918367346749e+05,7.154358305075334545e-01,3.763855194235961321e-02
6.938943673469388159e+05,7.042246386267626557e-01,3.894679111408960726e-02
7.143011428571429569e+05,6.983011476404816786e-01,3.994931195310870431e-02
7.347079183673469815e+05,6.990076504222313414e-01,3.929844339583782320e-02
7.551146938775510062e+05,7.056380031827392818e-01,4.195591593008479031e-02
7.755214693877551472e+05,7.120198195547344788e-01,4.429750993007548071e-02
7.959282448979592882e+05,7.145063016857935434e-01,4.113379480005778521e-02
8.163350204081633128e+05,7.147208256014571104e-01,3.662186988437700352e-02
8.367417959183673374e+05,7.150563541106896848e-01,3.333026790908243803e-02
8.571485714285714785e+05,7.178975933008141519e-01,3.291037196879945115e-02
8.775553469387756195e+05,7.230492197599752702e-01,3.493082001486075283e-02
8.979621224489796441e+05,7.237388039266697826e-01,3.236204182357414055e-02
9.183688979591836687e+05,7.170627115353902514e-01,2.159022885714436887e-02
9.387756734693878097e+05,7.118394239146924596e-01,1.045755614996299494e-02
9.591824489795919508e+05,7.159810490519949999e-01,1.229962149623232970e-02
9.795892244897959754e+05,7.254029987487363718e-01,1.393707421769928810e-02
9.999960000000000000e+05,7.334774130540067105e-01,1.214254292886792104e-02
