x,y_mean,y_std
2.364800000000000000e+04,3.827748632410074014e-01,2.588020967063133226e-01
4.357355102040816564e+04,4.195556095174656219e-01,2.032227662698349591e-01
6.349910204081632401e+04,4.823793842543782628e-01,1.008682942716050412e-01
8.342465306122448237e+04,5.247968588285341074e-01,6.952392979407576168e-02
1.033502040816326480e+05,5.361803653012732207e-01,1.277237538782473592e-01
1.232757551020408137e+05,5.136291295417058089e-01,1.390061812330040114e-01
1.432013061224489647e+05,5.224119699317025800e-01,1.448039493603070493e-01
1.631268571428571304e+05,5.332478499370529867e-01,1.859183558773000178e-01
1.830524081632652960e+05,5.440837299424033935e-01,2.455878762325643117e-01
2.029779591836734617e+05,5.539213798724273996e-01,3.113517885500479143e-01
2.229035102040816273e+05,4.876509362618746124e-01,2.455233511719466244e-01
2.428290612244897929e+05,3.959659827853211356e-01,1.661294294440987251e-01
2.627546122448979295e+05,3.114687887021426738e-01,1.771596750305719226e-01
2.826801632653060951e+05,3.414666114434392052e-01,1.984123772408210584e-01
3.026057142857142608e+05,4.726590748866227321e-01,1.927335306150069483e-01
3.225312653061224264e+05,6.038515383298062034e-01,1.969290204376579478e-01
3.424568163265305921e+05,6.593198257214319957e-01,1.723850794596080982e-01
3.623823673469387577e+05,5.273499540311222811e-01,1.430918770836767662e-01
3.823079183673469233e+05,3.848996976693034866e-01,1.732083554330346442e-01
4.022334693877550890e+05,3.300590899231474751e-01,2.062343518796298236e-01
4.221590204081632546e+05,4.156389264626251245e-01,2.084928319265764995e-01
4.420845714285714203e+05,5.012187630021027740e-01,2.514119475733863074e-01
4.620101224489795859e+05,5.579128281962246749e-01,2.719636848712892463e-01
4.819356734693877515e+05,5.581301511431201456e-01,2.203553587764629784e-01
5.018612244897958590e+05,5.501039059029089184e-01,1.429830343076179122e-01
5.217867755102040246e+05,5.500648407104337112e-01,9.157967770818259412e-02
5.417123265306121903e+05,5.194537640748043694e-01,8.236091642400661383e-02
5.616378775510203559e+05,4.729591963041833158e-01,1.338385027663909765e-01
5.815634285714285215e+05,4.264646285335622622e-01,2.146357564288071396e-01
6.014889795918366872e+05,4.267793641892176915e-01,2.580351927263103140e-01
6.214145306122448528e+05,4.839991609543163875e-01,2.756974584715515819e-01
6.413400816326530185e+05,5.361817484683872870e-01,2.778745126337086591e-01
6.612656326530611841e+05,6.027799411030109189e-01,2.234023442420766670e-01
6.811911836734693497e+05,6.693781337376347729e-01,2.496878288877476260e-01
7.011167346938775154e+05,6.776551157249672830e-01,2.486646900938754567e-01
7.210422857142856810e+05,6.815219236716016926e-01,2.756417575371061801e-01
7.409678367346938467e+05,6.799800561945397170e-01,3.054725766837107503e-01
7.608933877551020123e+05,6.635515434790572042e-01,2.885142159408813356e-01
7.808189387755101779e+05,6.631953065538144232e-01,2.448114698086724939e-01
8.007444897959183436e+05,6.672917062205516725e-01,1.974137923602843070e-01
8.206700408163265092e+05,6.713881058872889218e-01,1.690371046693918411e-01
8.405955918367346749e+05,6.754845055540261711e-01,1.695189304257994078e-01
8.605211428571428405e+05,6.795809052207635315e-01,1.986493908048996004e-01
8.804466938775510062e+05,6.778745126843330748e-01,1.597282616706686698e-01
9.003722448979591718e+05,6.514316273406147717e-01,9.660361838480138741e-02
9.202977959183673374e+05,6.236355597529630312e-01,7.179617544287210384e-02
9.402233469387755031e+05,5.708905191527465783e-01,5.642371079967611891e-02
9.601488979591836687e+05,5.110250923104002752e-01,8.730598305947230575e-02
9.800744489795917179e+05,4.510077347494824140e-01,1.368783610346497315e-01
1.000000000000000000e+06,3.984117616960906050e-01,1.040510342655944082e-01
