x,y_mean,y_std
3.232000000000000000e+04,5.201017548092561338e-01,1.034093214897783969e-01
5.206857142857142753e+04,5.385859320077293066e-01,7.365609066669251415e-02
7.181714285714285506e+04,5.495172641779280109e-01,2.886722312896881915e-02
9.156571428571428987e+04,5.520990683433258939e-01,3.360438675398586678e-02
1.113142857142857101e+05,5.423637165295441820e-01,4.311379281058357049e-02
1.310628571428571304e+05,5.353336373841071083e-01,3.486690411106208726e-02
1.508114285714285797e+05,5.383772325264837288e-01,3.233767765701804631e-02
1.705600000000000000e+05,5.531753995804949975e-01,4.034946549665805599e-02
1.903085714285714203e+05,5.438800604363465130e-01,3.411444094212698341e-02
2.100571428571428405e+05,5.345847212921980285e-01,5.077431763181197016e-02
2.298057142857142608e+05,5.252893821480494330e-01,7.662106835859704146e-02
2.495542857142857101e+05,5.159940430039010595e-01,1.050812325636879541e-01
2.693028571428571595e+05,5.066987038597525750e-01,1.345059972382248725e-01
2.890514285714285215e+05,5.202280336961788709e-01,1.229243934339651484e-01
3.088000000000000000e+05,5.389854965050850932e-01,6.776433704926553003e-02
3.285485714285714203e+05,5.414151955579219466e-01,4.737584932659909265e-02
3.482971428571428405e+05,5.438448946107585780e-01,1.306093295035046509e-01
3.680457142857142608e+05,5.390642050478590130e-01,1.537528557308460719e-01
3.877942857142856810e+05,5.236959126989487734e-01,1.201876730739033644e-01
4.075428571428571013e+05,5.036539216498756577e-01,7.609723144213248469e-02
4.272914285714285215e+05,4.876861468954939438e-01,5.835634828574336186e-02
4.470400000000000000e+05,4.872942786163930728e-01,3.504187596629684820e-02
4.667885714285714203e+05,4.825532171490922728e-01,7.693144618234822041e-02
4.865371428571428405e+05,4.741332011873248264e-01,1.245452125588099868e-01
5.062857142857142608e+05,4.810904480637804292e-01,1.210555068497228826e-01
5.260342857142856810e+05,4.881223449059952091e-01,1.229320309799783045e-01
5.457828571428570431e+05,4.942852589380055117e-01,1.081464581963035160e-01
5.655314285714285215e+05,4.848222573825351489e-01,9.366536808575846862e-02
5.852800000000000000e+05,4.851009309783408940e-01,9.141898631472991643e-02
6.050285714285713620e+05,5.179759944666457727e-01,9.992025899313075610e-02
6.247771428571428405e+05,5.559140719593034241e-01,1.063060258665246421e-01
6.445257142857142026e+05,5.969482008218082170e-01,8.667284533772194599e-02
6.642742857142856810e+05,6.302603563064392844e-01,8.265793340772763231e-02
6.840228571428571595e+05,6.363958090472917606e-01,7.458000285063302870e-02
7.037714285714285215e+05,6.201605488944444966e-01,5.667281227243767261e-02
7.235200000000000000e+05,5.989328950491626946e-01,6.805042876712370792e-02
7.432685714285713620e+05,5.775139210504627307e-01,1.076342990679848705e-01
7.630171428571428405e+05,5.745543468390829078e-01,9.190739687675972269e-02
7.827657142857142026e+05,5.729723397760105863e-01,1.070807025001449531e-01
8.025142857142856810e+05,5.723861909264406078e-01,1.461787564002594297e-01
8.222628571428570431e+05,5.900271846022376865e-01,1.300925586927345334e-01
8.420114285714285215e+05,6.070128446630213004e-01,1.111457054144577294e-01
8.617600000000000000e+05,6.097418568344586953e-01,9.443273463752789587e-02
8.815085714285713620e+05,6.000716417577962591e-01,8.643488010145596034e-02
9.012571428571428405e+05,5.891055353299332609e-01,9.508170308667036885e-02
9.210057142857142026e+05,5.797196008035186976e-01,1.173267308746366311e-01
9.407542857142856810e+05,5.850832255731750475e-01,1.173487704532930331e-01
9.605028571428570431e+05,6.069624640140842686e-01,8.084227844513501571e-02
9.802514285714285215e+05,6.305757694894126297e-01,6.459269593156673206e-02
1.000000000000000000e+06,6.525814651177936909e-01,8.786580043209457624e-02
