x,y_mean,y_std
6.400000000000000000e+01,5.090162656059012969e-01,5.963371448629867927e-02
2.047077551020408282e+04,5.128927724374771069e-01,4.598918882839737182e-02
4.087755102040816564e+04,5.269459546550965268e-01,3.945907936975860675e-02
6.128432653061224846e+04,5.506915475715496999e-01,3.598894730907774286e-02
8.169110204081633128e+04,5.799944615884935484e-01,3.505455206444060834e-02
1.020978775510204141e+05,6.123773179911283782e-01,3.338293505891182927e-02
1.225046530612244969e+05,6.444632186758042502e-01,2.545458611158420842e-02
1.429114285714285797e+05,6.703635303555219860e-01,1.702152710848916020e-02
1.633182040816326626e+05,6.872557897147170136e-01,1.707799365350760878e-02
1.837249795918367454e+05,6.940968548831601970e-01,1.801915888474544397e-02
2.041317551020408282e+05,6.901734208421450578e-01,1.202361719893663833e-02
2.245385306122449110e+05,6.805903452416297572e-01,6.093513438124717983e-03
2.449453061224489938e+05,6.712039149567921026e-01,2.009489602326559876e-02
2.653520816326530767e+05,6.650393620858672250e-01,3.142836835138371199e-02
2.857588571428571595e+05,6.665921287491884950e-01,3.318962998081445570e-02
3.061656326530612423e+05,6.770669125635142560e-01,2.670816660700095491e-02
3.265724081632653251e+05,6.892672715143993711e-01,2.146184763756120786e-02
3.469791836734694079e+05,6.963471745984870509e-01,2.259707142125895116e-02
3.673859591836734908e+05,6.974017504533089884e-01,2.155281548196992525e-02
3.877927346938775736e+05,6.951284305219497250e-01,1.356720203115252370e-02
4.081995102040816564e+05,6.913698598611377477e-01,1.639501539574833577e-02
4.286062857142857392e+05,6.854132020171651574e-01,2.415410689062453750e-02
4.490130612244898221e+05,6.813710381901909585e-01,2.643436019744943577e-02
4.694198367346939049e+05,6.854319478166732704e-01,3.251122266102066116e-02
4.898266122448979877e+05,6.925960667861204012e-01,3.799864529933232732e-02
5.102333877551020705e+05,6.923778687697046408e-01,3.783152675615567007e-02
5.306401632653061533e+05,6.857557109467061762e-01,3.364232799548834418e-02
5.510469387755102944e+05,6.788762046975712616e-01,2.439895632720462740e-02
5.714537142857143190e+05,6.715642887045885079e-01,1.349001843684621144e-02
5.918604897959183436e+05,6.646549161548971352e-01,1.906993932813094705e-02
6.122672653061224846e+05,6.638691702770336267e-01,2.481951004825079174e-02
6.326740408163266256e+05,6.674375093574452800e-01,2.786916576164636186e-02
6.530808163265306503e+05,6.678210104185160478e-01,2.821019274882754016e-02
6.734875918367346749e+05,6.653399597332197990e-01,2.881887914817450602e-02
6.938943673469388159e+05,6.674188260971590791e-01,3.054695576745146759e-02
7.143011428571429569e+05,6.774731963915263666e-01,2.898702761188411831e-02
7.347079183673469815e+05,6.909694479526519162e-01,2.466031551134895486e-02
7.551146938775510062e+05,6.970633889451750553e-01,1.611030809012575435e-02
7.755214693877551472e+05,6.905437353951802137e-01,1.342616152869642240e-02
7.959282448979592882e+05,6.808148616062743574e-01,2.523531414819794177e-02
8.163350204081633128e+05,6.778270849914068696e-01,3.401432218716016198e-02
8.367417959183673374e+05,6.770166409066822322e-01,3.796805321816201090e-02
8.571485714285714785e+05,6.689450885204826225e-01,3.550815719952169630e-02
8.775553469387756195e+05,6.592167381139751869e-01,2.212096503696223820e-02
8.979621224489796441e+05,6.597644626135025225e-01,1.534089966422893213e-02
9.183688979591836687e+05,6.682239694474867431e-01,1.906697940499782473e-02
9.387756734693878097e+05,6.760188555997685977e-01,2.393783401398703187e-02
9.591824489795919508e+05,6.822485834925214876e-01,2.747604009425955521e-02
9.795892244897959754e+05,6.892422082521096893e-01,2.539989605846002668e-02
9.999960000000000000e+05,6.964770652783573990e-01,2.498664074744878436e-02
