x,y_mean,y_std
6.400000000000000000e+01,6.302168281372597658e-01,6.782539750363071607e-02
2.042653061224489647e+04,6.604517247659746904e-01,7.579828577564813596e-02
4.078906122448979295e+04,7.075459677193027819e-01,8.254825445622443469e-02
6.115159183673468942e+04,7.722205007566915747e-01,7.690441344293857950e-02
8.151412244897958590e+04,8.434919212435983971e-01,5.846448087851755654e-02
1.018766530612244824e+05,8.983388756906066641e-01,4.224233485566754320e-02
1.222391836734693788e+05,9.248235715015079572e-01,3.514626640704345689e-02
1.426017142857142608e+05,9.344287892247769012e-01,3.032108280058780012e-02
1.629642448979591718e+05,9.398331468419296453e-01,2.235310447200877793e-02
1.833267755102040828e+05,9.443840762047402970e-01,1.386953249909273975e-02
2.036893061224489647e+05,9.472713725821140240e-01,1.228112850590648911e-02
2.240518367346938467e+05,9.490560385255614184e-01,1.498561965171550485e-02
2.444143673469387577e+05,9.506832911373297446e-01,1.702834773433350643e-02
2.647768979591836687e+05,9.521280281227589848e-01,1.678692234135352804e-02
2.851394285714285215e+05,9.526942462067957695e-01,1.603402702815745484e-02
3.055019591836734326e+05,9.523539139185869251e-01,1.695040978124617154e-02
3.258644897959183436e+05,9.518051132234331968e-01,1.663446446582357921e-02
3.462270204081632546e+05,9.519722745141667719e-01,1.252452353157775151e-02
3.665895510204081656e+05,9.540882834202146778e-01,9.643284146756797917e-03
3.869520816326530185e+05,9.571018834227409400e-01,1.523086106022970322e-02
4.073146122448979295e+05,9.584408521574372397e-01,2.308144171819078577e-02
4.276771428571428405e+05,9.582057163751919182e-01,2.645757980214390528e-02
4.480396734693876933e+05,9.588894525572915217e-01,2.277835891496490447e-02
4.684022040816326044e+05,9.619484942952947204e-01,1.451287430712332530e-02
4.887647346938775154e+05,9.665100095288048365e-01,9.104381152964640886e-03
5.091272653061224264e+05,9.701502639615521284e-01,1.247399694929841700e-02
5.294897959183673374e+05,9.715813708875117305e-01,1.410269508270488303e-02
5.498523265306121903e+05,9.713271203145733557e-01,1.244949026921107413e-02
5.702148571428570431e+05,9.699356910799448173e-01,1.021343696753655717e-02
5.905773877551020123e+05,9.667947869038554520e-01,8.836077435572227065e-03
6.109399183673468651e+05,9.630728527182403909e-01,1.065138927230798067e-02
6.313024489795918344e+05,9.623001384884620757e-01,1.186824314422595637e-02
6.516649795918366872e+05,9.651737167748144497e-01,1.252991855829728961e-02
6.720275102040815400e+05,9.694680559143499243e-01,1.252474149566550413e-02
6.923900408163265092e+05,9.732445963704188241e-01,1.013056686378305954e-02
7.127525714285713620e+05,9.760352370530389621e-01,6.583676754064539220e-03
7.331151020408163313e+05,9.783199165791650609e-01,3.862848984571996738e-03
7.534776326530611841e+05,9.805208073055821094e-01,4.192296786588088804e-03
7.738401632653060369e+05,9.821880338827529977e-01,4.736213747601364897e-03
7.942026938775510062e+05,9.830054701102683978e-01,4.521562003740024586e-03
8.145652244897958590e+05,9.833737690474638748e-01,7.199802687599350659e-03
8.349277551020407118e+05,9.831324809326258407e-01,1.140853942007246692e-02
8.552902857142856810e+05,9.814015051121453004e-01,1.518718826278054115e-02
8.756528163265305338e+05,9.776695491026152762e-01,1.837008146522826554e-02
8.960153469387753867e+05,9.728886501602345138e-01,2.016439864588733671e-02
9.163778775510203559e+05,9.699272079857120810e-01,1.989170736790011815e-02
9.367404081632652087e+05,9.713971768915961036e-01,1.870125819844379797e-02
9.571029387755101779e+05,9.759021722700215173e-01,1.724427097292658556e-02
9.774654693877550308e+05,9.799130351741277556e-01,1.549203154427232672e-02
9.978280000000000000e+05,9.822125099362615241e-01,1.388349077677385884e-02
