x,y_mean,y_std
6.400000000000000000e+01,5.113927908844113635e-01,5.326983659912887942e-02
2.047077551020408282e+04,5.119807254697712473e-01,4.156168909125042277e-02
4.087755102040816564e+04,5.084551746236463110e-01,2.911597420917311912e-02
6.128432653061224846e+04,5.033020750356659301e-01,1.906267351333437374e-02
8.169110204081633128e+04,5.010076526072351211e-01,1.457800803830041486e-02
1.020978775510204141e+05,5.030548629582092257e-01,1.920127149485634580e-02
1.225046530612244969e+05,5.084056260499014712e-01,2.614277694362764082e-02
1.429114285714285797e+05,5.157316192976904023e-01,2.906792494468814214e-02
1.633182040816326626e+05,5.225207332465515719e-01,3.616570002393603572e-02
1.837249795918367454e+05,5.275259271729679789e-01,4.521517596695337482e-02
2.041317551020408282e+05,5.343224844122632655e-01,5.382824998415223355e-02
2.245385306122449110e+05,5.474879906520199180e-01,6.177535334185584037e-02
2.449453061224489938e+05,5.676599830388131540e-01,6.788558082253304260e-02
2.653520816326530767e+05,5.939319058544396679e-01,7.292686818285847028e-02
2.857588571428571595e+05,6.216641611842890214e-01,8.194599243147296375e-02
3.061656326530612423e+05,6.419251207340008758e-01,9.607665260816736219e-02
3.265724081632653251e+05,6.543134152520760916e-01,1.072534340521407448e-01
3.469791836734694079e+05,6.663100943673623267e-01,1.136411207995494665e-01
3.673859591836734908e+05,6.808661446768428105e-01,1.168797288654808142e-01
3.877927346938775736e+05,6.948625243169656018e-01,1.190959274640029791e-01
4.081995102040816564e+05,7.064196257174061300e-01,1.251789835551101737e-01
4.286062857142857392e+05,7.194543430950920415e-01,1.369621292898497711e-01
4.490130612244898221e+05,7.382319917969034639e-01,1.501372480276060850e-01
4.694198367346939049e+05,7.591509524124230301e-01,1.591278844782026691e-01
4.898266122448979877e+05,7.715467231585355634e-01,1.632179215272401285e-01
5.102333877551020705e+05,7.707019048398597860e-01,1.657438888028098523e-01
5.306401632653061533e+05,7.652640549347002885e-01,1.701047257880744235e-01
5.510469387755102944e+05,7.663775358648357017e-01,1.719620356084877733e-01
5.714537142857143190e+05,7.758141793579704792e-01,1.681532642099792529e-01
5.918604897959183436e+05,7.863569585256258154e-01,1.628941985353885291e-01
6.122672653061224846e+05,7.920370838351448173e-01,1.612463723646526126e-01
6.326740408163266256e+05,7.939226492842157423e-01,1.630821502314848959e-01
6.530808163265306503e+05,7.944529416548762324e-01,1.656208555684710315e-01
6.734875918367346749e+05,7.962050509866491765e-01,1.655534630021231191e-01
6.938943673469388159e+05,8.009457265883443977e-01,1.607030915417459183e-01
7.143011428571429569e+05,8.060320275711732041e-01,1.535575471401147141e-01
7.347079183673469815e+05,8.065382746043663342e-01,1.486192891541956440e-01
7.551146938775510062e+05,8.012603096681898407e-01,1.462797683385516079e-01
7.755214693877551472e+05,7.941166919417866898e-01,1.444750111237846912e-01
7.959282448979592882e+05,7.883115949206555007e-01,1.452656238584513204e-01
8.163350204081633128e+05,7.846068666314484075e-01,1.502477460569668355e-01
8.367417959183673374e+05,7.840428057048692834e-01,1.555596074394403061e-01
8.571485714285714785e+05,7.858335393230321264e-01,1.574243689071810892e-01
8.775553469387756195e+05,7.867953548190673718e-01,1.566622276587654183e-01
8.979621224489796441e+05,7.870682142089605593e-01,1.545143793572013313e-01
9.183688979591836687e+05,7.878980280386456148e-01,1.530219202950276747e-01
9.387756734693878097e+05,7.878058708130385446e-01,1.551892577767758075e-01
9.591824489795919508e+05,7.856526474002494265e-01,1.601421321044154411e-01
9.795892244897959754e+05,7.822577259479375211e-01,1.648229589907988513e-01
9.999960000000000000e+05,7.784228650923030735e-01,1.683448128846029013e-01
